時間,買賣超(張)_17,MA10_17
2023/11/22,-25,-25.6
2023/11/23,-62,-26.2
2023/11/24,-6,-27.3
2023/11/27,-62,-32.9
2023/11/28,0,-31.0
2023/11/29,-6,-29.1
2023/11/30,0,-25.4
2023/12/1,-6,-21.0
2023/12/4,-6,-20.4
2023/12/5,0,-17.3
2023/12/6,0,-14.8
2023/12/7,-6,-9.2
2023/12/8,-6,-9.2
2023/12/11,-6,-3.6
2023/12/12,-19,-5.5
2023/12/13,-6,-5.5
2023/12/14,0,-5.5
2023/12/15,-75,-12.4
2023/12/18,-62,-18.0
2023/12/19,-6,-18.6
2023/12/20,0,-18.6
2023/12/21,0,-18.0
2023/12/22,-6,-18.0
2023/12/25,0,-17.4
2023/12/26,-19,-17.4
2023/12/27,-6,-17.4
2023/12/28,0,-17.4
2023/12/29,-6,-10.5
2024/1/2,0,-4.3
2024/1/3,0,-3.7
2024/1/4,-6,-4.3
2024/1/5,0,-4.3
2024/1/8,-12,-4.9
2024/1/9,0,-4.9
2024/1/10,-6,-3.6
2024/1/11,0,-3.0
2024/1/12,-6,-3.6
2024/1/15,0,-3.0
2024/1/30,-12,-5.6
2024/1/31,-12,-9.8
2024/2/1,-19,-13.8
2024/2/2,-31,-16.9
2024/2/5,-27,-17.7
2024/2/15,-8,-16.4
2024/2/16,-25,-15.2
2024/2/19,-37,-18.3
2024/2/20,-25,-20.2
2024/2/21,-6,-20.2
2024/2/22,-12,-20.2
2024/2/23,-25,-21.5
2024/2/26,-19,-21.5
2024/2/27,-75,-25.9
2024/2/29,-26,-25.8
2024/3/1,-75,-32.5
2024/3/4,-7,-30.7
2024/3/5,-33,-30.3
2024/3/6,0,-27.8
2024/3/7,-25,-29.7
2024/3/8,-37,-32.2
2024/3/11,10,-28.7
2024/3/12,-22,-29.0
2024/3/13,0,-21.5
2024/3/14,-25,-21.4
2024/3/15,3,-13.6
2024/3/18,-12,-14.1
2024/3/19,-25,-13.3
2024/3/20,-54,-18.7
2024/3/21,-1,-16.3
2024/3/22,-12,-13.8
2024/3/25,2,-14.6
2024/3/26,1,-12.3
2024/3/27,-9,-13.2
2024/3/28,-12,-11.9
2024/3/29,-13,-13.5
2024/4/1,-4,-12.7
2024/4/2,0,-10.2
2024/4/3,-6,-5.4
2024/4/8,0,-5.3
2024/4/9,-38,-7.9
2024/4/10,-6,-8.7
2024/4/11,0,-8.8
2024/4/12,0,-7.9
2024/4/15,0,-6.7
2024/4/16,-13,-6.7
2024/4/17,-25,-8.8
2024/4/18,-6,-9.4
2024/4/19,0,-8.8
2024/4/22,0,-8.8
2024/4/23,2,-4.8
2024/4/24,0,-4.2
2024/5/2,-285,-4.3
2024/5/3,-283,-32.0
2024/5/6,-274,-59.4
2024/5/7,-288,-88.2
2024/5/8,-293,-117.7
2024/5/9,-299,-147.6
2024/5/10,-145,-174.6
2024/5/13,3,-186.7
2024/5/14,0,-186.7
2024/5/15,0,-186.4
2024/5/16,0,-157.9
2024/5/17,0,-129.6
2024/5/20,2,-102.0
2024/5/21,2,-73.0
2024/5/22,3,-43.4
2024/5/23,4,-13.1
2024/6/13,-257,-16.9
2024/6/14,3,-16.9
2024/6/17,6,-16.5
2024/6/18,7,-15.8
2024/6/19,3,-16.0
2024/6/20,0,-17.3
2024/6/21,0,-18.7
2024/6/24,0,-19.8
2024/6/25,0,-21.9
2024/6/26,7,-23.1
2024/7/15,-101,-9.4
2024/7/16,-101,-19.6
2024/7/17,-103,-30.0
2024/7/18,0,-30.0
2024/7/19,0,-30.5
2024/7/22,0,-30.5
2024/7/23,0,-30.5
2024/7/26,0,-30.5
2024/7/29,0,-30.5
2024/7/30,0,-30.5
2024/7/31,0,-20.4
2024/8/1,0,-10.3
