時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,419.5,419.5,402,404.5,438,450.7,479.83,507.68,520.81,547.96,479.83,411.69,4684,2582,2796,-7,1165,7,14,1.04%,-118,22746,1122,1240,20.32%,-46,7227,160,206,6.46%,8124,-35,362,380,17,29.02%,521.23,463.61,0.44,11987,17513,-5526,514.18,19,0.15,0.15,28.40%,25.62%
2021/9/30,410,415,406.5,412,431.1,442.9,476.25,506.55,520.03,550.47,476.25,402.03,1874,2585,2869,0,1238,0,0,1.11%,-75,22460,499,574,20.07%,-44,7183,54,98,6.42%,8140,16,113,97,0,29.07%,521.23,463.61,0.42,12194,17186,-4992,514.18,19,0.15,0.15,31.17%,28.40%
2021/10/1,403.5,408,385.5,387.5,417.8,435.65,469.73,505.3,519.12,550.75,469.73,388.7,4174,3023,2857,7,1245,7,0,1.11%,-593,22070,954,1547,19.72%,-41,7142,138,179,6.38%,8209,69,365,288,8,29.32%,521.34,463.61,0.41,12100,18183,-6083,513.51,-66,-0.44,-0.44,34.50%,31.45%
2021/10/4,389,401,379,383,403.6,428.95,463.08,504.15,518.35,549.47,463.08,376.68,4101,3552,2850,19,1264,19,0,1.13%,9,22134,1421,1412,19.77%,-62,7080,141,203,6.32%,8149,-60,160,205,15,29.10%,517.91,461.44,0.18,12265,18200,-5935,511.63,-47,-0.26,-0.26,37.32%,34.38%
2021/10/5,380,389,373,389,395.2,421.4,456.23,503.01,517.6,543.3,456.23,369.15,3079,3582,2939,-12,1252,3,15,1.12%,-94,21979,945,1039,19.64%,-18,7062,79,97,6.31%,8248,99,186,80,7,29.46%,515.3,460.6,0.8,12618,18127,-5509,511.32,7,0.039,0.039,38.17%,36.28%
2021/10/6,396,402,387,398,393.9,415.95,449.93,501.89,516.89,534.68,449.93,365.17,3181,3282,2932,0,1252,0,0,1.12%,-208,21741,749,957,19.42%,11,7073,97,86,6.32%,8227,-21,229,226,24,29.38%,485.43,455.88,0.71,12642,18125,-5483,511.32,14,0.085,0.085,37.67%,36.98%
2021/10/7,403,413,401.5,413,394.1,412.6,444.43,500.9,516.25,523.59,444.43,365.26,2710,3449,3017,3,1255,4,1,1.12%,170,21661,856,686,19.35%,88,7161,114,26,6.40%,8074,-153,156,305,4,28.84%,482.57,455.28,0.54,12949,17293,-4344,510.99,17,0.099,0.099,35.63%,36.30%
2021/10/8,404.5,407.5,386,386,393.8,405.8,438.8,499.88,515.63,517.78,438.8,359.82,4801,3574,3299,0,1255,0,0,1.12%,-1501,21088,683,2184,18.84%,-107,7054,59,166,6.30%,8386,312,496,181,3,29.95%,472.85,455.28,0.61,12851,17514,-4663,510.99,10,0.056,0.056,36.00%,36.15%
2021/10/12,375.5,396,370,392,395.6,399.6,433.58,498.92,514.96,510.39,433.58,356.76,4166,3587,3570,-7,1248,0,7,1.11%,480,21769,1486,1006,19.45%,1,7056,96,95,6.30%,8300,-86,103,188,1,29.64%,471.77,452.15,0.18,12734,17965,-5231,510.99,-16,-0.089,-0.089,35.44%,35.79%
2021/10/13,390.5,393,380,380.5,393.9,394.55,427.4,498.02,514.26,500.34,427.4,354.46,3094,3590,3586,-1,1247,0,1,1.11%,-432,21321,567,999,19.05%,7,7063,87,80,6.31%,8424,124,187,61,2,30.09%,459.48,452.15,0.36,12747,18099,-5352,510.99,-5,-0.028,-0.028,34.13%,34.96%
2021/10/14,387,389,378,384.5,391.2,392.55,421.63,497.11,513.55,488.71,421.63,354.54,1456,3245,3264,-13,1234,2,15,1.10%,241,21550,467,226,19.25%,-9,7054,42,51,6.30%,8317,-107,43,149,1,29.70%,440.22,451.24,0.27,12783,18088,-5305,510.78,-18,-0.11,-0.11,31.82%,33.39%
2021/10/15,391,394.5,384,384,385.4,389.75,416.33,496.22,512.75,477.45,416.33,355.2,1640,3031,3240,0,1234,0,0,1.10%,-220,21120,363,583,18.87%,19,7072,36,17,6.32%,8330,13,107,87,7,29.75%,440.22,451.17,-0.092,13316,17122,-3806,510.78,-21,-0.14,-0.14,29.36%,31.38%
2021/10/18,385,392,381,381.5,384.5,389.15,412.4,495.23,511.9,471.86,412.4,352.94,1397,2351,2963,-5,1229,0,5,1.10%,12,21106,335,323,18.86%,8,7081,45,37,6.33%,8355,25,76,44,7,29.84%,436.05,450.26,-0.14,13423,17088,-3665,510.78,-26,-0.22,-0.22,28.84%,30.11%
2021/10/19,387,402,385,399,385.9,390.75,409.85,494.32,511.12,466.97,409.85,352.73,2349,1987,2787,-40,1189,0,40,1.06%,702,21868,911,209,19.54%,117,7198,135,18,6.43%,8188,-167,117,283,1,29.24%,435.91,441.32,0.82,13824,16754,-2930,510.78,-59,-0.59,-0.59,27.87%,28.99%
2021/10/20,400.5,403,390.5,391.5,388.1,391,406.2,493.44,510.28,457.97,406.2,354.43,2096,1788,2689,-38,1151,0,38,1.03%,-531,21069,383,914,18.82%,-92,7106,49,141,6.35%,8306,118,194,73,3,29.66%,435.91,428.07,0.64,14047,16753,-2706,510.78,-96,-1.07,-1.07,25.49%,27.24%
2021/10/21,392,401.5,390,391,389.4,390.3,403.13,492.56,509.46,450.66,403.13,355.59,2078,1912,2579,-39,1112,0,39,0.99%,-191,21010,447,639,18.77%,20,7127,60,40,6.37%,8343,37,135,88,10,29.80%,435.91,405.17,0.076,12801,16738,-3937,510.78,-122,-1.28,-1.28,23.58%,25.41%
2021/10/22,392,393.5,385,388,390.2,387.8,400.2,491.68,508.66,443.73,400.2,356.67,1311,1846,2439,0,1112,0,0,0.99%,-105,20955,137,243,18.72%,-23,7104,6,29,6.35%,8379,36,115,79,0,29.92%,435.91,405.17,0.13,12719,16736,-4017,510.78,-122,-1.32,-1.32,21.75%,23.58%
2021/10/25,388.5,397,385.5,393,392.5,388.5,397.15,490.8,507.96,433.05,397.15,361.25,1703,1907,2129,-157,955,0,157,0.85%,-203,20864,204,407,18.64%,8,7112,30,22,6.35%,8428,49,168,113,6,30.10%,393.83,399.98,-0.03,12703,16738,-4035,510.78,-274,-2.87,-2.87,18.08%,20.83%
2021/10/26,400.5,420,398.5,420,396.7,391.3,395.45,490.04,507.44,422.57,395.45,368.33,6219,2681,2334,1,956,1,0,0.85%,1205,22241,2000,795,19.87%,-148,6964,204,352,6.22%,8240,-188,402,588,2,29.43%,394.22,399.98,0.086,12776,16455,-3679,510.68,-233,-1.74,-1.74,13.71%,17.27%
2021/10/27,425,440,418.5,440,406.4,397.25,395.9,489.43,506.91,425.54,395.9,366.26,6129,3488,2638,69,1025,126,57,0.92%,544,22877,1579,1035,20.44%,18,6982,150,132,6.24%,8255,15,418,398,5,29.48%,421.01,397.91,0.026,12699,16452,-3753,500.78,-126,-0.72,-0.72,14.97%,16.12%
2021/10/28,436,445,425,427,413.6,401.5,397.03,488.73,506.29,429.46,397.03,364.59,3631,3799,2855,62,1087,62,0,0.97%,-544,22373,381,926,19.99%,-61,6921,75,136,6.18%,8433,178,473,276,19,30.12%,424.85,397.54,0.17,12583,16455,-3872,496.93,-25,-0.13,-0.13,16.34%,16.23%
2021/10/29,428,440,427.5,427.5,421.5,405.85,397.8,488.03,505.67,432.31,397.8,363.29,2731,4083,2964,65,1152,65,0,1.03%,55,21990,595,540,19.65%,19,6940,61,42,6.20%,8350,-83,214,291,6,29.82%,426.68,397.54,0.14,12485,16619,-4134,493.32,40,0.2,0.2,17.35%,16.79%
2021/11/1,438,444.5,430.5,444.5,431.8,412.15,400.65,487.4,505.15,440.31,400.65,360.99,2443,4231,3069,0,1152,0,0,1.03%,325,22374,709,384,19.99%,32,6972,108,76,6.23%,8409,59,375,316,0,30.03%,427.49,397.54,0.1,12580,16396,-3816,493.32,197,0.93,0.93,19.80%,18.29%
2021/11/2,450,470.5,431,434,434.6,415.65,403.2,486.7,504.47,444.52,403.2,361.88,5759,4139,3410,60,1212,60,0,1.08%,-289,22240,1047,1336,19.87%,7,6978,212,205,6.23%,8500,91,644,553,0,30.36%,434.26,397.54,-0.011,12535,16507,-3972,491.26,256,1.24,1.24,20.50%,19.40%
2021/11/3,438,443,425,426,431.8,419.1,405.05,486.08,503.83,446.97,405.05,363.13,2333,3379,3434,0,1212,0,0,1.08%,-381,22009,350,731,19.66%,-29,6949,51,81,6.20%,8543,43,224,180,1,30.51%,434.74,398.15,-0.57,12592,16497,-3905,491.26,187,1.11,1.11,20.70%,20.05%
2021/11/4,431,432,415,416.5,429.7,421.65,405.98,485.47,503.16,448.05,405.98,363.9,2230,3099,3449,0,1212,0,0,1.08%,-139,22016,403,542,19.67%,-4,6945,60,64,6.20%,8516,-27,250,270,7,30.41%,434.74,398.15,-0.2,12612,16176,-3564,491.26,125,0.81,0.81,20.73%,20.39%
2021/11/5,418,427.5,413.5,421.5,428.5,425,406.4,484.98,502.49,448.92,406.4,363.88,2313,3016,3549,0,1212,0,0,1.08%,212,22159,972,760,19.80%,59,7004,89,30,6.25%,8413,-103,102,202,3,30.05%,435.09,398.13,-0.088,12650,15701,-3051,491.26,60,0.4,0.4,20.92%,20.66%
2021/11/8,418,427.5,417,419,423.4,427.6,408.05,484.63,501.77,449.83,408.05,366.27,1260,2779,3505,0,1212,0,0,1.08%,-69,22150,270,339,19.79%,21,7025,45,24,6.27%,8407,-6,116,86,36,30.02%,435.09,398.13,0.0082,12763,15481,-2718,491.26,60,0.43,0.43,20.48%,20.57%
2021/11/9,417,425,417,420.5,420.7,427.65,409.48,484.29,501.07,450.91,409.48,368.04,1472,1922,3030,1,1213,1,0,1.08%,49,22155,408,359,19.79%,27,7052,54,27,6.30%,8313,-94,111,200,5,29.69%,435.05,398.4,0.073,12714,15162,-2448,491.2,1,0.01,0.01,20.24%,20.40%
2021/11/10,420.5,435,418.5,429.5,421.4,426.6,411.93,483.92,500.4,451.99,411.93,371.86,2726,2000,2690,1,1214,1,0,1.08%,47,22277,667,620,19.90%,121,7173,175,54,6.40%,8361,48,321,202,71,29.86%,435.03,398.44,0.25,12634,14882,-2248,491.15,2,0.02,0.02,19.45%,19.93%
2021/11/11,422.5,426,418,418.5,421.8,425.75,413.63,483.56,499.6,451.73,413.63,375.52,1721,1898,2499,-260,954,0,260,0.85%,-214,22063,191,405,19.71%,-57,7115,36,93,6.35%,8313,-48,187,234,1,29.69%,435.35,408.9,0.051,12592,14595,-2003,491.15,-258,-2.72,-2.72,18.42%,19.17%
2021/11/12,430,455,426,448,427.1,427.8,416.83,483.46,498.96,455.19,416.83,378.46,7329,2902,2959,0,954,0,0,0.85%,1355,23429,2777,1422,20.93%,26,7141,171,145,6.38%,8319,6,644,638,0,29.71%,435.35,408.9,0.34,12638,14588,-1950,491.15,-258,-1.78,-1.78,18.41%,18.79%
