時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,45.9,45.9,45.15,45.4,46.17,46.09,45.88,44,43,47.51,45.88,44.26,797,584,512,0,0,0,0,0.00%,-178,5756,55,233,4.55%,-39,961,1,40,0.76%,2096,-91,70,161,0,6.62%,39.31,45.49,0.44,11987,17513,-5526,45.43,0,0,0,7.09%,8.19%
2021/9/30,45.4,46.7,45.4,46.6,46.2,46.1,46.02,44.04,43.03,47.38,46.02,44.66,1041,626,553,0,0,0,0,0.00%,404,6157,472,68,4.87%,0,961,1,1,0.76%,2268,172,248,76,0,7.16%,39.31,45.49,0.42,12194,17186,-4992,46.27,0,0,0,5.91%,7.05%
2021/10/1,46.55,46.55,44.5,45,45.92,45.99,46.02,44.07,43.05,47.37,46.02,44.67,1014,724,611,0,0,0,0,0.00%,-115,6039,208,323,4.78%,-6,955,2,8,0.76%,2281,13,106,93,0,7.20%,39.31,45.49,0.41,12100,18183,-6083,45.42,0,0,0,5.87%,6.46%
2021/10/4,45.6,45.6,44,44,45.49,45.79,45.86,44.1,43.08,47.37,45.86,44.36,851,830,667,0,0,0,0,0.00%,-55,5994,204,259,4.74%,-2,953,0,2,0.75%,2254,-27,57,84,0,7.12%,39.31,45.49,0.18,12265,18200,-5935,44.5,0,0,0,6.56%,6.51%
2021/10/5,43.5,44.65,43.05,44.35,45.07,45.62,45.72,44.13,43.11,47.24,45.72,44.2,429,826,682,0,0,0,0,0.00%,96,6115,189,93,4.84%,0,953,0,0,0.75%,2253,-1,33,34,0,7.11%,39.31,45.49,0.8,12618,18127,-5509,43.92,0,0,0,6.65%,6.58%
2021/10/6,44.65,44.75,43.8,44.1,44.81,45.49,45.61,44.16,43.14,47.26,45.61,43.96,451,757,671,0,0,0,0,0.00%,-108,5988,41,149,4.73%,-10,943,2,12,0.75%,2160,-93,18,111,0,6.82%,39.31,45.49,0.71,12642,18125,-5483,44.28,0,0,0,7.24%,6.91%
2021/10/7,45.45,46.7,45.4,46.35,44.76,45.48,45.69,44.19,43.17,47.33,45.69,44.05,2150,979,802,0,0,0,0,0.00%,789,6778,925,136,5.36%,5,948,5,0,0.75%,1961,-199,122,321,0,6.19%,39.31,45.49,0.54,12949,17293,-4344,46.05,0,0,0,7.18%,7.05%
2021/10/8,46.85,46.85,45.95,46.05,44.97,45.45,45.75,44.23,43.21,47.34,45.75,44.16,493,875,799,0,0,0,0,0.00%,4,6791,105,101,5.37%,0,948,0,0,0.75%,1934,-27,60,87,0,6.11%,39.31,45.49,0.61,12851,17514,-4663,46.16,0,0,0,6.95%,7.00%
2021/10/12,46.2,46.2,45.4,45.85,45.34,45.42,45.77,44.27,43.24,47.36,45.77,44.19,471,799,815,0,0,0,0,0.00%,-47,6745,170,217,5.33%,10,958,12,2,0.76%,1952,18,30,12,0,6.16%,39.31,45.49,0.18,12734,17965,-5231,45.7,0,0,0,6.92%,6.96%
2021/10/13,45.4,45.8,44.8,45.05,45.48,45.28,45.73,44.31,43.27,47.34,45.73,44.12,563,826,826,0,0,0,0,0.00%,-104,6821,124,228,5.39%,4,962,4,0,0.76%,1948,-4,45,49,0,6.15%,39.31,45.49,0.36,12747,18099,-5352,45.24,0,0,0,7.06%,7.01%
2021/10/14,45.4,45.4,42.1,42.7,45.2,45.01,45.55,44.33,43.29,47.6,45.55,43.49,3412,1418,1088,0,0,0,0,0.00%,-1272,5604,472,1744,4.43%,-11,951,10,21,0.75%,1983,35,175,140,0,6.25%,39.31,45.49,0.27,12783,18088,-5305,43.01,0,0,0,9.01%,8.01%
2021/10/15,43,43.15,42.75,43.05,44.54,44.65,45.37,44.36,43.31,47.64,45.37,43.1,888,1165,1072,0,0,0,0,0.00%,47,5623,242,195,4.45%,2,953,2,0,0.75%,1972,-11,20,31,0,6.22%,39.31,45.49,-0.092,13316,17122,-3806,42.97,0,0,0,10.01%,9.01%
2021/10/18,43.15,44.15,43.15,43.95,44.12,44.55,45.27,44.38,43.34,47.59,45.27,42.94,792,1225,1050,0,0,0,0,0.00%,277,5815,427,150,4.60%,2,955,2,0,0.76%,1965,-7,24,31,0,6.20%,39.31,45.49,-0.14,13423,17088,-3665,43.8,0,0,0,10.28%,9.64%
2021/10/19,43.95,44.8,43.95,44.5,43.85,44.6,45.19,44.4,43.37,47.52,45.19,42.87,433,1218,1008,0,0,0,0,0.00%,221,6036,285,64,4.77%,2,957,2,0,0.76%,1965,0,23,23,0,6.20%,39.31,45.49,0.82,13824,16754,-2930,44.55,0,0,0,10.29%,9.97%
2021/10/20,44.9,44.9,44.35,44.45,43.73,44.61,45.11,44.43,43.4,47.43,45.11,42.8,385,1182,1004,0,0,0,0,0.00%,94,6401,192,98,5.06%,0,957,0,0,0.76%,1967,2,11,9,0,6.20%,39.31,45.49,0.64,14047,16753,-2706,44.58,0,0,0,10.25%,10.11%
2021/10/21,44.3,44.85,43.85,43.85,43.96,44.58,45.04,44.46,43.43,47.41,45.04,42.66,1246,749,1083,0,0,0,0,0.00%,-138,6310,872,1010,4.99%,4,961,5,1,0.76%,1957,-10,15,25,0,6.17%,39.31,45.49,0.076,12801,16738,-3937,44.06,0,0,0,10.53%,10.32%
2021/10/22,43.9,44.35,43.7,44.05,44.16,44.35,44.92,44.48,43.46,47.23,44.92,42.6,218,615,890,0,0,0,0,0.00%,64,6374,117,53,5.04%,0,961,0,0,0.76%,1954,-3,8,11,0,6.16%,39.31,45.49,0.13,12719,16736,-4017,44.08,0,0,0,10.31%,10.32%
2021/10/25,44.2,44.2,43.65,43.85,44.14,44.13,44.79,44.5,43.49,47.04,44.79,42.53,336,524,874,0,0,0,0,0.00%,-96,6278,21,117,4.96%,12,973,16,4,0.77%,1972,18,22,4,0,6.22%,39.31,45.49,-0.03,12703,16738,-4035,43.78,0,0,0,10.07%,10.19%
