時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,159,165.5,156.5,159,158.7,151.1,146.55,160.33,161.47,162.21,146.55,130.89,2532,3983,2178,-163,514,0,163,0.43%,118,6713,629,511,5.56%,-67,1127,60,127,0.93%,3218,-211,192,403,0,10.67%,154.88,145.34,0.44,11987,17513,-5526,156.16,401,2.01,2.01,21.37%,19.35%
2021/9/30,158,164,153.5,161,161.1,152.7,147.55,160.3,161.4,164.19,147.55,130.91,2239,3918,2370,48,1017,48,0,0.84%,-362,6192,252,614,5.13%,49,1176,68,19,0.97%,3334,116,326,210,0,11.05%,155.07,145.34,0.42,12194,17186,-4992,156.25,449,2.29,2.29,22.55%,20.95%
2021/10/1,159,159.5,152,152,158.8,153.7,148.05,160.23,161.33,164.59,148.05,131.51,1083,3365,2459,6,1023,6,0,0.85%,-129,6165,189,318,5.11%,-45,1130,10,55,0.94%,3262,-72,102,174,0,10.82%,155.07,147.63,0.41,12100,18183,-6083,156.24,347,2.06,2.06,22.34%,21.65%
2021/10/4,152.5,157,149.5,155.5,158.4,155.15,148.9,160.19,161.27,165.13,148.9,132.67,1158,2464,2556,14,1037,14,0,0.86%,172,6332,333,161,5.24%,-1,1129,12,13,0.94%,3423,161,251,90,0,11.35%,155.05,149.31,0.18,12265,18200,-5935,156.21,61,0.5,0.5,21.81%,21.73%
2021/10/5,153.5,161.5,151.5,161.5,157.8,156.65,149.98,160.15,161.25,166.55,149.98,133.4,1116,1626,2608,-42,995,10,52,0.82%,-33,6298,265,298,5.22%,-3,1126,12,15,0.93%,3502,79,170,91,0,11.61%,155.07,149.9,0.8,12618,18127,-5509,156.21,-137,-1.69,-1.69,22.11%,21.92%
2021/10/6,161.5,166,155.5,156.5,157.3,158,150.58,160.07,161.19,167.19,150.58,133.96,1854,1490,2737,-87,908,10,97,0.75%,-146,6178,219,365,5.12%,65,1191,89,24,0.99%,3388,-114,217,331,0,11.23%,156.31,151.22,0.71,12642,18125,-5483,156.26,-61,-0.82,-0.82,22.06%,21.99%
2021/10/7,160.5,166.5,159.5,162,157.5,159.3,151.38,160.04,161.18,168.56,151.38,134.19,2730,1588,2753,57,965,130,73,0.80%,18,6187,347,329,5.12%,46,1238,103,57,1.03%,3525,137,567,429,0,11.69%,157.3,154.81,0.54,12949,17293,-4344,157.18,-52,-0.65,-0.65,22.70%,22.35%
2021/10/8,162,168,160,162,159.5,159.15,152.53,160.04,161.16,169.32,152.53,135.73,2276,1827,2596,0,965,0,0,0.80%,-97,6108,289,386,5.06%,48,1286,162,114,1.07%,3361,-164,407,571,0,11.14%,157.3,160.5,0.61,12851,17514,-4663,157.18,-58,-0.63,-0.63,22.02%,22.18%
2021/10/12,158,161,154,154.5,159.3,158.85,153.2,160,161.1,169.15,153.2,137.25,1838,1963,2214,0,965,0,0,0.80%,-25,6149,415,440,5.09%,-57,1229,54,111,1.02%,3400,39,419,380,0,11.27%,159.79,160.5,0.18,12734,17965,-5231,157.18,-72,-0.73,-0.73,20.82%,21.50%
2021/10/13,155.5,160.5,154.5,158,158.6,158.2,153.98,160,161.08,169.26,153.98,138.69,1212,1982,1804,0,965,0,0,0.80%,486,6634,617,131,5.49%,82,1311,102,20,1.09%,3290,-110,73,182,1,10.91%,159.79,160.5,0.36,12747,18099,-5352,157.18,-30,-0.3,-0.3,19.85%,20.68%
