時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,547,547,538,538,560.2,566.1,559.45,528.76,515.66,604.15,559.45,514.75,447,656,619,-1,8853,8,9,8.35%,-240,33032,102,341,31.16%,-3,738,2,5,0.70%,716,28,36,7,1,2.70%,587.05,569.46,0.44,11987,17513,-5526,472.77,-285,-8.69,-8.69,15.98%,16.37%
2021/9/30,539,565,539,555,555.6,562.5,560.2,529.29,516.06,604.07,560.2,516.33,945,709,641,154,9491,163,9,8.96%,-80,32952,348,428,31.09%,12,750,14,2,0.71%,730,14,73,59,0,2.76%,582.49,569.22,0.42,12194,17186,-4992,474.17,-105,-2.96,-2.96,15.66%,16.02%
2021/10/1,550,555,536,536,547.4,558.6,560.05,529.7,516.26,604.22,560.05,515.88,482,644,590,0,9491,0,0,8.96%,-134,32818,133,267,30.96%,-13,737,2,15,0.70%,705,-25,39,64,0,2.66%,582.49,569.22,0.41,12100,18183,-6083,474.17,-105,-3.26,-3.26,15.78%,15.90%
2021/10/4,540,545,522,522,541.2,554.8,559.45,530.03,516.41,605.32,559.45,513.58,403,530,577,12,9503,15,3,8.97%,-107,32716,133,240,30.87%,11,748,20,9,0.71%,707,2,29,26,1,2.67%,581.8,570.9,0.18,12265,18200,-5935,474.26,164,6.19,6.19,16.40%,16.15%
2021/10/5,520,535,514,527,535.6,550.2,559.3,530.4,516.64,605.57,559.3,513.03,694,594,603,68,9571,68,0,9.03%,-235,32491,188,423,30.65%,-47,701,41,88,0.66%,748,41,53,11,1,2.82%,578.72,571.2,0.8,12618,18127,-5509,474.62,233,7.84,7.84,16.55%,16.35%
2021/10/6,540,548,532,541,536.2,548.2,560.05,530.72,516.9,604.59,560.05,515.51,629,631,643,279,9850,279,0,9.29%,-154,32339,190,344,30.51%,-19,682,5,24,0.64%,770,22,43,21,0,2.91%,571.86,571.2,0.71,12642,18125,-5483,476.49,513,16.27,16.27,15.91%,16.13%
2021/10/7,546,576,546,566,538.4,547,561.55,531.21,517.22,604.75,561.55,518.35,927,627,668,349,10199,349,0,9.62%,-222,32129,236,457,30.31%,4,686,14,10,0.65%,773,3,64,61,0,2.92%,570.68,571.26,0.54,12949,17293,-4344,479.51,708,22.58,22.58,15.39%,15.76%
2021/10/8,566,580,560,574,546,546.7,562.75,531.8,517.63,605.93,562.75,519.57,532,637,641,47,10246,47,0,9.67%,121,32254,255,134,30.43%,-13,673,2,15,0.64%,718,-55,30,85,0,2.71%,571.06,571.26,0.61,12851,17514,-4663,479.95,755,23.7,23.7,15.35%,15.55%
2021/10/12,572,580,566,578,557.2,549.2,562.45,532.35,518.09,605.12,562.45,519.78,343,625,577,29,10275,29,0,9.70%,65,32319,209,144,30.49%,-18,655,1,19,0.62%,682,-36,11,47,0,2.57%,568.55,571.23,0.18,12734,17965,-5231,480.21,772,24.7,24.7,15.17%,15.36%
2021/10/13,578,578,563,564,564.6,550.1,560.35,532.89,518.43,598.09,560.35,522.61,253,537,566,78,10353,79,1,9.77%,-117,32203,35,152,30.38%,8,663,11,3,0.63%,692,10,25,15,0,2.61%,556.54,563.77,0.36,12747,18099,-5352,480.89,782,29.14,29.14,13.47%,14.42%
