時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,163,165,159,160.5,159.7,154.55,156.78,131.34,123.18,174.46,156.78,139.09,2904,3173,2158,0,5374,0,0,7.28%,-97,14111,644,741,19.12%,-68,1154,26,94,1.56%,3077,45,238,193,0,16.68%,154.02,155.36,0.44,11987,17513,-5526,155.57,356,2.24,2.24,22.56%,22.37%
2021/9/30,161,162.5,156,157,160.2,155.15,156.75,131.7,123.5,174.43,156.75,139.07,1863,2885,2169,0,6081,0,0,8.24%,-461,13668,266,727,18.52%,-13,1141,27,40,1.55%,3141,64,245,178,3,17.03%,154.02,155.36,0.42,12194,17186,-4992,155.57,55,0.38,0.38,22.56%,22.47%
2021/10/1,155,160.5,148,149,158.6,155.05,155.95,132.01,123.78,173.51,155.95,138.39,2742,3099,2352,0,6081,0,0,8.24%,-18,13732,648,666,18.61%,-2,1139,28,31,1.54%,3147,6,202,193,3,17.06%,151.54,155.36,0.41,12100,18183,-6083,155.57,55,0.35,0.35,22.52%,22.49%
2021/10/4,151,152.5,143,146,155.8,154.8,154.18,132.29,124.04,167.78,154.18,140.57,1951,3105,2475,179,6260,179,0,8.48%,-114,13691,547,661,18.55%,-3,1136,16,19,1.54%,3046,-101,72,173,0,16.51%,151.16,155.36,0.18,12265,18200,-5935,155.36,234,1.51,1.51,17.65%,20.07%
2021/10/5,145,154.5,141.5,151,152.7,155.05,153.03,132.6,124.33,163.18,153.03,142.87,2037,2299,2536,77,6337,77,0,8.59%,-31,13779,655,686,18.67%,22,1157,39,17,1.57%,3040,-6,126,131,1,16.48%,151.06,154.81,0.8,12618,18127,-5509,155.28,256,2.23,2.23,13.27%,16.67%
2021/10/6,151.5,155,147,149,150.4,155.05,152.63,132.91,124.6,162.75,152.63,142.5,2123,2143,2658,157,6494,157,0,8.80%,130,13921,789,659,18.86%,-47,1110,23,70,1.50%,3009,-31,111,142,0,16.31%,151.03,148.79,0.71,12642,18125,-5483,155.17,413,3.85,3.85,13.27%,14.97%
2021/10/7,154.5,162,153.5,160.5,151.1,155.65,153.23,133.27,124.93,163.72,153.23,142.73,3192,2409,2647,295,6789,295,0,9.20%,511,14270,1090,579,19.34%,36,1146,62,26,1.55%,3009,0,247,247,0,16.31%,152.36,148.61,0.54,12949,17293,-4344,155.31,708,5.88,5.88,13.70%,14.33%
2021/10/8,163,176,162,168.5,155,156.8,154.1,133.69,125.3,166.46,154.1,141.74,13154,4491,3795,0,6789,0,0,9.20%,-241,14085,2538,2779,19.08%,-33,1113,80,113,1.51%,3416,407,1113,706,0,18.52%,153.2,149.01,0.61,12851,17514,-4663,155.31,708,3.15,3.15,16.04%,15.19%
2021/10/12,166.5,169.5,160,161.5,158.1,156.95,154.45,134.06,125.64,167.22,154.45,141.68,2849,4671,3888,0,6789,0,0,9.20%,-505,13580,380,885,18.40%,-54,1059,13,67,1.44%,3451,35,321,286,0,18.71%,153.8,149,0.18,12734,17965,-5231,155.31,529,2.27,2.27,16.54%,15.86%
2021/10/13,162.5,164,152,152.5,158.4,155.55,154.53,134.4,125.94,167.24,154.53,141.81,2116,4687,3493,0,6789,0,0,9.20%,-329,13271,313,642,17.98%,3,1062,38,36,1.44%,3403,-48,175,223,0,18.45%,153.85,148.67,0.36,12747,18099,-5352,155.31,452,1.93,1.93,16.45%,16.16%
2021/10/14,156.5,158.5,150,153.5,159.3,154.85,154.7,134.73,126.24,167.25,154.7,142.15,1906,4643,3393,5,6794,5,0,9.21%,-608,12673,187,795,17.17%,6,1068,29,23,1.45%,3526,123,247,123,1,19.12%,153.87,147.12,0.27,12783,18088,-5305,155.31,300,1.29,1.29,16.23%,16.19%
2021/10/15,155.5,158,152,152,157.6,154.35,154.75,135.06,126.55,167.25,154.75,142.25,2545,4514,3462,34,6828,34,0,9.25%,-373,12285,390,763,16.64%,-18,1050,9,27,1.42%,3120,-406,335,741,0,16.91%,154.12,147.12,-0.092,13316,17122,-3806,155.3,39,0.17,0.17,16.16%,16.17%
2021/10/18,153.5,158.5,153.5,156,155.1,155.05,155.05,135.42,126.86,167.37,155.05,142.73,2059,2295,3393,0,6828,0,0,9.25%,239,12453,561,322,16.87%,13,1063,25,12,1.44%,3077,-43,291,334,0,16.68%,154.53,147.12,-0.14,13423,17088,-3665,155.3,39,0.34,0.34,15.89%,16.03%
2021/10/19,159.5,171.5,159.5,171.5,157.1,157.6,156.2,135.85,127.24,170.05,156.2,142.35,6703,3066,3868,62,6890,62,0,9.34%,412,12864,1019,607,17.43%,68,1131,121,53,1.53%,3068,-9,620,629,0,16.63%,155.21,147.12,0.82,13824,16754,-2930,155.41,101,0.66,0.66,17.74%,16.88%
2021/10/20,171,180,166.5,179,162.4,160.4,157.73,136.33,127.65,174.3,157.73,141.15,8487,4340,4513,350,7240,350,0,9.81%,184,13049,1384,1200,17.68%,51,1182,122,71,1.60%,3223,155,1034,879,0,17.47%,159.8,147.12,0.64,14047,16753,-2706,156.36,451,2.08,2.08,21.02%,18.95%
2021/10/21,180.5,186,175,183.5,168.4,163.85,159.45,136.83,128.08,178.96,159.45,139.94,11915,6342,5493,175,7415,375,200,10.05%,-344,12636,1639,1984,17.12%,-4,1178,135,139,1.60%,3462,239,933,694,0,18.77%,164.08,181.36,0.076,12801,16738,-3937,157.62,621,1.96,1.96,24.47%,21.71%
2021/10/22,183.5,188.5,181,182.5,174.5,166.05,160.85,137.32,128.51,182.62,160.85,139.08,6154,7064,5789,50,7465,50,0,10.12%,10,12703,1332,1322,17.21%,-12,1165,123,135,1.58%,3438,-24,570,594,0,18.64%,166.21,181.36,0.13,12719,16736,-4017,157.8,637,1.8,1.8,27.07%,24.39%
2021/10/25,184,191,182.5,184,180.1,167.6,162.2,137.81,128.95,186.09,162.2,138.31,4396,7531,4913,0,7465,0,0,10.12%,-526,12183,788,1314,16.51%,-140,1025,16,156,1.39%,3792,354,755,401,0,20.56%,166.21,181.36,-0.03,12703,16738,-4035,157.8,637,1.69,1.69,29.46%,26.93%
2021/10/26,186,189,172.5,173.5,180.5,168.8,162.88,138.24,129.35,187.24,162.88,138.51,5202,7231,5148,0,7465,0,0,10.12%,444,12645,1233,789,17.13%,-21,1004,45,66,1.36%,3390,-402,512,914,0,18.38%,166.21,181.36,0.086,12776,16455,-3679,157.8,575,1.59,1.59,29.92%,28.42%
2021/10/27,177.5,183.5,175.5,182,181.1,171.75,163.65,138.72,129.77,189.38,163.65,137.92,2905,6114,5227,-17,7448,0,17,10.09%,678,13323,1081,403,18.05%,22,1026,37,15,1.39%,3418,28,295,266,1,18.53%,166.18,181.29,0.026,12699,16452,-3753,157.8,208,0.68,0.68,31.44%,29.93%
2021/10/28,179,186,177,183.5,181.1,174.75,164.8,139.21,130.21,191.88,164.8,137.72,2030,4137,5240,0,7448,0,0,10.09%,158,13442,525,367,18.21%,-4,1023,18,21,1.39%,3474,56,278,222,0,18.83%,166.18,181.29,0.17,12583,16455,-3872,157.8,33,0.16,0.16,32.86%,31.40%
2021/10/29,184.5,190,181,182.5,181.1,177.8,166.08,139.7,130.63,193.96,166.08,138.19,4607,3828,5446,0,7448,0,0,10.09%,-903,12395,525,1428,16.79%,108,1130,124,17,1.53%,3934,460,753,274,19,21.33%,166.18,181.29,0.14,12485,16619,-4134,157.8,-17,-0.089,-0.089,33.58%,32.49%
2021/11/1,182.5,193,180,193,182.9,181.5,168.28,140.23,131.1,197.34,168.28,139.21,5712,4091,5811,89,7537,89,0,10.21%,989,13396,1728,739,18.15%,187,1317,273,86,1.78%,3624,-310,596,906,0,19.65%,167.39,181.29,0.1,12580,16396,-3816,158.17,72,0.35,0.35,34.54%,33.51%
