時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,489,491.5,477,486,503.6,509.45,529.03,491.36,471.04,578.81,529.03,479.24,3627,2520,2416,615,14826,746,131,2.90%,-1279,298634,911,2191,58.47%,-89,3496,91,180,0.68%,2990,114,171,57,0,2.34%,511.67,522.46,0.44,11987,17513,-5526,431.85,228,1.81,1.81,18.82%,17.74%
2021/9/30,486,497.5,482.5,495.5,500.9,506.1,526.1,491.92,471.52,576.54,526.1,475.66,2340,2444,2517,100,15537,101,1,3.04%,-81,298593,1500,1580,58.46%,3,3499,41,38,0.69%,2916,-74,19,92,1,2.28%,510.54,522.21,0.42,12194,17186,-4992,432.24,328,2.68,2.68,19.18%,18.46%
2021/10/1,485.5,487.5,471,476.5,494.6,502.05,521.08,492.39,471.92,570.24,521.08,471.91,2648,2304,2592,-28,15509,55,83,3.04%,-1017,297643,736,1754,58.28%,-14,3485,82,96,0.68%,3046,130,160,28,2,2.39%,508.99,512.65,0.41,12100,18183,-6083,432.41,392,3.4,3.4,18.87%,18.67%
2021/10/4,480,482,460.5,465,485,496.75,516.03,492.78,472.21,566.43,516.03,465.62,2381,2404,2698,-201,15308,113,314,3.00%,-59,297609,1001,1060,58.27%,11,3495,53,42,0.68%,3064,18,70,51,1,2.40%,497.24,499.89,0.18,12265,18200,-5935,432.66,428,3.56,3.56,19.54%,19.10%
2021/10/5,446,473,445,469,478.4,491.25,511.23,493.18,472.54,560.33,511.23,462.12,4617,3123,2908,123,15431,221,98,3.02%,-1541,296102,1768,3309,57.98%,68,3564,136,67,0.70%,3240,176,217,41,0,2.54%,490.74,496.77,0.8,12618,18127,-5509,433.06,609,3.9,3.9,19.21%,19.15%
2021/10/6,479,483.5,469,474.5,476.1,489.85,507.1,493.51,472.93,553.94,507.1,460.26,2554,2908,2714,77,15508,93,16,3.04%,-294,295873,1300,1594,57.93%,-16,3548,56,72,0.69%,3255,15,72,57,0,2.55%,487.85,494.21,0.71,12642,18125,-5483,433.32,71,0.49,0.49,18.47%,18.81%
2021/10/7,484,497,483,492,475.4,488.15,504.4,493.98,473.4,548.07,504.4,460.73,3180,3076,2760,60,15568,60,0,3.05%,614,296147,1900,1285,57.99%,23,3571,114,90,0.70%,3059,-196,31,225,2,2.40%,487.1,492.97,0.54,12949,17293,-4344,433.51,31,0.2,0.2,17.32%,18.06%
2021/10/8,488,497.5,478,480.5,476.2,485.4,502.18,494.41,473.85,545.96,502.18,458.39,2854,3117,2711,100,15668,100,0,3.07%,-1101,295176,832,1933,57.79%,22,3594,108,86,0.70%,3217,158,192,34,0,2.52%,486.81,492.23,0.61,12851,17514,-4663,433.85,159,1.02,1.02,17.44%,17.75%
2021/10/12,474,479.5,462,464,476,480.5,499.13,494.75,474.22,544.59,499.13,453.66,3348,3311,2857,-11,15657,29,40,3.07%,-817,294427,1850,2667,57.65%,-9,3584,95,104,0.70%,3296,79,110,31,0,2.58%,486.33,491.25,0.18,12734,17965,-5231,433.92,349,2.11,2.11,18.22%,17.98%
2021/10/13,456.5,468,447.5,448.5,471.9,475.15,494.7,495.05,474.52,541.76,494.7,447.64,3209,3029,3076,24,15681,69,45,3.07%,-1071,293580,1283,2354,57.48%,-18,3567,65,83,0.70%,3331,35,93,23,35,2.61%,484.08,489.8,0.36,12747,18099,-5352,434,250,1.65,1.65,19.02%,18.50%
2021/10/14,458,464,453,461.5,469.3,472.7,491.08,495.39,474.88,536.61,491.08,445.54,2675,3053,2981,-10,15671,34,44,3.07%,-334,293310,1170,1504,57.43%,10,3576,61,51,0.70%,3296,-35,33,67,1,2.58%,482.78,488.75,0.27,12783,18088,-5305,434.06,163,1.07,1.07,18.54%,18.52%
2021/10/15,466.5,476,465,469,464.7,470.05,488.08,495.71,475.31,531.05,488.08,445.1,2869,2991,3034,108,15779,109,1,3.09%,-835,292426,1342,2177,57.26%,30,3607,69,39,0.71%,3302,6,65,57,2,2.59%,481.15,487.44,-0.092,13316,17122,-3806,434.31,211,1.41,1.41,17.61%,18.07%
2021/10/18,474,477,460,462,461,468.6,485.33,495.98,475.71,527.58,485.33,443.07,1674,2755,2936,-104,15675,1,105,3.07%,-41,292382,1037,1078,57.25%,48,3654,90,43,0.72%,3213,-89,115,84,120,2.52%,479.67,484.77,-0.14,13423,17088,-3665,434.31,7,0.051,0.051,17.41%,17.74%
2021/10/19,468.5,481.5,465,478,463.8,469.9,483.33,496.34,476.19,522.91,483.33,443.74,2630,2611,2961,334,16009,513,179,3.13%,-106,292309,1387,1493,57.23%,57,3711,120,63,0.73%,3184,-29,94,123,0,2.49%,478.84,483.63,0.82,13824,16754,-2930,435.69,352,2.7,2.7,16.38%,17.06%
2021/10/20,480,486,474.5,475,469.1,470.5,480.88,496.74,476.65,515.88,480.88,445.87,2120,2394,2711,10,16019,10,0,3.14%,-449,291815,939,1388,57.14%,-61,3650,29,90,0.71%,3095,-89,63,152,0,2.42%,478.63,483.13,0.64,14047,16753,-2706,435.71,338,2.82,2.82,14.56%,15.81%
2021/10/21,473,485,473,474,471.6,470.45,480.15,497.12,477.1,515.1,480.15,445.2,1918,2242,2648,2,16021,4,2,3.14%,-451,291398,668,1118,57.06%,19,3669,66,47,0.72%,3096,1,27,26,0,2.42%,478.17,482.78,0.076,12801,16738,-3937,435.73,350,3.12,3.12,14.56%,15.18%
2021/10/22,475,478,469,475,472.8,468.75,478.45,497.51,477.59,510.83,478.45,446.07,1333,1935,2463,96,16117,96,0,3.16%,-40,291398,727,767,57.06%,2,3670,31,30,0.72%,3149,53,59,6,0,2.47%,478.02,482.78,0.13,12719,16736,-4017,435.96,338,3.49,3.49,13.54%,14.36%
2021/10/25,481,495,478,486,477.6,469.3,477.35,497.94,478.13,507.03,477.35,447.68,3334,2267,2511,-16,16101,49,65,3.15%,-596,290840,1315,1911,56.95%,74,3745,140,65,0.73%,3311,162,231,69,0,2.59%,477.81,480.48,-0.03,12703,16738,-4035,436.11,426,3.76,3.76,12.43%,13.40%
2021/10/26,486,492.5,483.5,487,479.4,471.6,476.05,498.39,478.71,501.31,476.05,450.79,3132,2367,2489,32,16133,39,7,3.16%,-207,290643,1985,2192,56.91%,6,3751,51,45,0.73%,3282,-29,104,132,1,2.57%,477.36,472.93,0.086,12776,16455,-3679,436.23,124,1.05,1.05,10.61%,12.01%
2021/10/27,490,502,486.5,500,484.4,476.75,475.95,498.95,479.32,500.82,475.95,451.08,2171,2378,2386,93,16226,126,33,3.18%,-70,290553,822,892,56.89%,63,3814,113,49,0.75%,3399,117,268,146,5,2.66%,478.18,471.89,0.026,12699,16452,-3753,436.69,207,1.74,1.74,10.45%,11.23%
2021/10/28,495.5,504,494,500,489.6,480.6,476.65,499.49,479.91,503.33,476.65,449.97,1965,2387,2315,15,16241,28,13,3.18%,-504,290070,840,1344,56.80%,15,3829,44,29,0.75%,3505,106,251,145,0,2.75%,476.3,470.76,0.17,12583,16455,-3872,436.8,220,1.84,1.84,11.19%,11.21%
2021/10/29,502,504,494,499,494.4,483.6,476.83,500.04,480.52,504.04,476.83,449.61,2457,2612,2273,-10,16231,0,10,3.18%,-375,289807,1050,1424,56.74%,0,3829,28,27,0.75%,3360,-145,65,210,0,2.63%,475.33,471.01,0.14,12485,16619,-4134,436.8,114,0.87,0.87,11.41%,11.31%
2021/11/1,503,509,492,500,497.2,487.4,478,500.59,481.1,507.02,478,448.98,3000,2545,2406,-36,16195,0,36,3.17%,-285,289414,935,1220,56.67%,-12,3817,62,74,0.75%,3256,-104,253,357,0,2.55%,475.24,471.47,0.1,12580,16396,-3816,436.8,94,0.74,0.74,12.14%,11.73%
2021/11/2,503,505,491,491.5,498.1,488.75,479.33,501.12,481.64,508.27,479.33,450.38,2251,2369,2368,-338,15857,1,339,3.11%,142,289556,1167,1024,56.69%,-35,3783,16,51,0.74%,3231,-25,44,68,1,2.53%,475.89,481.45,-0.011,12535,16507,-3972,436.8,-276,-2.33,-2.33,12.08%,11.90%
2021/11/3,498,498,484.5,489.5,496,490.2,480.35,501.55,482.22,509.22,480.35,451.48,1512,2237,2307,-444,15413,0,444,3.02%,6,289519,623,617,56.69%,-4,3778,28,32,0.74%,3267,36,68,31,1,2.56%,478.37,485.11,-0.57,12592,16497,-3905,436.8,-813,-7.27,-7.27,12.02%,11.96%
2021/11/4,496.5,496.5,481.5,485.5,493.1,491.35,480.9,501.95,482.8,509.72,480.9,452.08,1555,2155,2271,-75,15338,0,75,3.00%,-227,289158,848,1075,56.62%,-13,3765,14,27,0.74%,3178,-89,37,125,1,2.49%,478.49,485.33,-0.2,12612,16176,-3564,436.8,-903,-8.38,-8.38,11.98%,11.97%
2021/11/5,488,504,488,499.5,493.2,493.8,481.28,502.44,483.41,510.85,481.28,451.7,2758,2215,2414,-13,15325,24,37,3.00%,-138,288744,1163,1301,56.54%,6,3771,61,55,0.74%,3069,-109,87,196,0,2.40%,478.61,485.62,-0.088,12650,15701,-3051,436.9,-906,-8.18,-8.18,12.29%,12.13%
2021/11/8,502,505,497.5,505,494.2,495.7,482.5,502.81,484,513.82,482.5,451.18,1034,1822,2184,-35,15290,17,52,2.99%,55,288717,382,327,56.53%,-26,3745,6,32,0.73%,3029,-40,54,94,0,2.37%,478.27,486.2,0.0082,12763,15481,-2718,436.97,-905,-9.93,-9.93,12.98%,12.56%
2021/11/9,508,521,506,511,498.1,498.1,484.85,503.22,484.59,517.3,484.85,452.4,2316,1835,2102,-3,15287,56,59,2.99%,-378,288433,817,1195,56.47%,46,3791,71,25,0.74%,2949,-80,74,153,1,2.31%,480.23,487.74,0.073,12714,15162,-2448,437.25,-570,-6.21,-6.21,13.38%,12.97%
2021/11/10,515,525,511,519,504,500,488.38,503.59,485.2,519.55,488.38,457.2,2280,1989,2113,-2,15285,21,23,2.99%,233,288746,1534,1302,56.54%,13,3804,43,30,0.74%,2919,-30,43,73,0,2.29%,482.63,489.23,0.25,12634,14882,-2248,437.36,-128,-1.29,-1.29,12.77%,12.87%
2021/11/11,516,523,511,522,511.3,502.2,491.4,503.98,485.8,523.29,491.4,459.51,1390,1956,2055,79,15364,85,6,3.01%,-55,288718,890,945,56.53%,-26,3778,16,42,0.74%,2871,-48,22,69,1,2.25%,485.93,490.19,0.051,12592,14595,-2003,437.82,26,0.27,0.27,12.98%,12.92%
