時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,156,156.5,152.5,153.5,158,156.4,158.05,184.97,185.33,165.34,158.05,150.76,1192,862,787,4,421,4,0,0.30%,-197,21741,218,415,15.28%,-45,2843,12,57,2.00%,8642,-91,90,138,43,24.29%,154.16,161.12,0.44,11987,17513,-5526,187.65,4,0.093,0.093,9.23%,9.18%
2021/9/30,154,155,152.5,155,157.6,156.25,157.73,184.73,185.21,164.95,157.73,150.5,519,857,803,4,434,4,0,0.31%,38,21808,151,113,15.33%,3,2846,11,8,2.00%,8665,23,79,48,8,24.36%,153.98,162.34,0.42,12194,17186,-4992,187.33,8,0.19,0.19,9.17%,9.17%
2021/10/1,154,154,149,150,155.5,156,156.95,184.48,185.08,164,156.95,149.9,1528,970,831,2,436,2,0,0.31%,-170,21794,217,387,15.32%,-73,2773,19,92,1.95%,8563,-102,131,228,5,24.07%,153.41,159.97,0.41,12100,18183,-6083,187.17,10,0.21,0.21,8.98%,9.08%
2021/10/4,151,151.5,142,144,152.1,155.05,155.98,184.22,184.92,164.39,155.98,147.56,1999,1242,971,-15,421,14,29,0.30%,-4,21924,435,439,15.41%,-40,2733,19,59,1.92%,8259,-304,293,566,31,23.22%,148.99,151.27,0.18,12265,18200,-5935,185.78,-5,-0.081,-0.081,10.79%,9.93%
2021/10/5,142.5,148,140.5,148,150.1,154.1,155.18,183.96,184.77,163.43,155.18,146.92,1143,1276,1001,7,428,7,0,0.30%,377,22360,552,175,15.72%,6,2739,27,21,1.92%,8210,-49,63,109,3,23.08%,148.03,150.28,0.8,12618,18127,-5509,185.11,2,0.031,0.031,10.64%,10.29%
2021/10/6,148.5,149,144.5,146.5,148.7,153.35,154.53,183.66,184.63,163.34,154.53,145.71,811,1200,1031,2,430,2,0,0.30%,-83,22314,183,266,15.69%,-15,2725,20,35,1.91%,8137,-73,43,115,1,22.87%,147.93,148.85,0.71,12642,18125,-5483,184.93,0,0,0,11.41%,10.85%
2021/10/7,147.5,150.5,147.5,150,147.7,152.65,154.2,183.41,184.51,163.18,154.2,145.22,746,1245,1051,2,432,2,0,0.30%,302,22585,356,54,15.88%,-4,2720,21,25,1.91%,8100,-37,34,62,9,22.77%,148.02,148.29,0.54,12949,17293,-4344,184.76,-2,-0.032,-0.032,11.65%,11.25%
2021/10/8,149,150,146.5,148.5,147.4,151.45,153.95,183.17,184.4,163.27,153.95,144.63,833,1106,1038,-14,418,0,14,0.29%,154,22807,294,140,16.03%,-3,2717,31,34,1.91%,8124,24,80,55,1,22.84%,147.82,148.28,0.61,12851,17514,-4663,184.76,-18,-0.33,-0.33,12.10%,11.68%
2021/10/12,148,148,144,145,147.6,149.85,153.3,182.9,184.27,163.19,153.3,143.41,770,861,1051,0,418,0,0,0.29%,-28,22760,288,316,16.00%,-19,2699,13,32,1.90%,8144,20,125,101,4,22.89%,147.82,148.28,0.18,12734,17965,-5231,184.76,-3,-0.07,-0.07,12.90%,12.29%
2021/10/13,146.5,147.5,142.5,143,146.6,148.35,152.55,182.66,184.13,163.15,152.55,141.95,723,777,1026,2,420,2,0,0.30%,-105,22500,237,342,15.82%,-4,2695,16,20,1.89%,8152,8,73,61,4,22.91%,147.61,148.1,0.36,12747,18099,-5352,184.57,-8,-0.21,-0.21,13.90%,13.09%
2021/10/14,144.5,145.5,141,142,145.7,147.2,151.8,182.41,183.99,163.13,151.8,140.47,574,729,965,1,421,1,0,0.30%,-50,22145,149,199,15.57%,-1,2694,19,20,1.89%,8087,-65,64,113,16,22.73%,147.48,147.92,0.27,12783,18088,-5305,184.47,-9,-0.25,-0.25,14.93%,14.01%
2021/10/15,144.5,148,144.5,146.5,145,146.35,151.3,182.19,183.87,162.64,151.3,139.96,906,761,1003,1,422,1,0,0.30%,416,22561,509,93,15.86%,39,2733,50,11,1.92%,7818,-269,17,177,109,21.97%,147.47,147.92,-0.092,13316,17122,-3806,184.38,-10,-0.26,-0.26,14.99%,14.50%
2021/10/18,147.5,148,145.5,146.5,144.6,146,151,181.98,183.74,162.52,151,139.48,338,662,884,0,422,0,0,0.30%,-3,22555,98,101,15.86%,-15,2717,17,33,1.91%,7821,3,27,21,3,21.98%,147.47,146.57,-0.14,13423,17088,-3665,184.38,4,0.12,0.12,15.25%,14.88%
2021/10/19,147,151,147,150,145.6,146.6,150.83,181.8,183.64,162.29,150.83,139.36,755,659,760,0,422,0,0,0.30%,237,22791,329,92,16.02%,-20,2697,23,43,1.90%,7601,-220,26,148,98,21.36%,147.47,146.57,0.82,13824,16754,-2930,184.38,4,0.12,0.12,15.20%,15.04%
2021/10/20,151,152,149.5,151,147.2,146.9,150.5,181.63,183.55,161.55,150.5,139.45,594,633,705,0,422,0,0,0.30%,26,22657,84,58,15.93%,-2,2696,60,62,1.89%,7600,-1,45,46,0,21.36%,147.47,146.57,0.64,14047,16753,-2706,184.38,2,0.063,0.063,14.68%,14.86%
