時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,117,118.5,111,115,116.7,114.25,109.52,72.58,67.86,123.19,109.52,95.85,43994,42734,44817,1033,33988,1033,0,13.67%,-3011,55634,3851,6862,22.38%,-301,4736,305,606,1.91%,17699,-662,3396,4058,0,28.48%,110.58,107.59,0.44,11987,17513,-5526,93.67,4729,2.21,2.21,24.96%,24.77%
2021/9/30,117,117.5,113.5,115,116.6,114.25,110.31,72.92,68.15,123.31,110.31,97.31,29888,41167,41551,-405,33002,0,405,13.28%,-784,54876,2841,3625,22.07%,-31,4704,244,276,1.89%,16945,-754,2128,2882,0,27.27%,110.67,108.91,0.42,12194,17186,-4992,93.67,1768,0.86,0.86,23.57%,24.17%
2021/10/1,111,113,106,107.5,114.5,113.85,110.24,73.19,68.42,123.28,110.24,97.19,24831,34629,40157,204,33206,204,0,13.36%,912,55964,3828,2916,22.51%,-263,4442,235,497,1.79%,15431,-1514,1321,2831,4,24.83%,110.82,109.05,0.41,12100,18183,-6083,93.77,1206,0.7,0.7,23.67%,23.92%
2021/10/4,110,113.5,107.5,109,113.4,113.5,110.24,73.46,68.69,123.28,110.24,97.19,34155,36139,36665,1269,34475,1755,486,13.87%,2705,58769,6532,3827,23.64%,-14,4428,356,370,1.78%,14610,-821,990,1809,2,23.51%,110.82,109.06,0.18,12265,18200,-5935,94.64,2475,1.37,1.37,23.67%,23.80%
2021/10/5,106.5,112.5,102.5,112,111.7,113.3,110.34,73.75,68.97,123.41,110.34,97.26,43810,35336,37118,-517,33958,0,517,13.66%,-2494,56299,6540,9034,22.65%,243,4671,787,544,1.88%,15168,558,1945,1382,5,24.41%,110.81,108.77,0.8,12618,18127,-5509,94.64,1584,0.9,0.9,23.69%,23.75%
2021/10/6,111,112,107,108,110.3,113.5,110.29,74.03,69.24,123.38,110.29,97.19,21138,30764,36749,0,33958,0,0,13.66%,-1665,54630,2303,3968,21.97%,-258,4413,149,406,1.78%,14656,-512,735,1241,6,23.59%,110.81,108.12,0.71,12642,18125,-5483,94.64,551,0.36,0.36,23.75%,23.75%
2021/10/7,112,118.5,111,118.5,111,113.8,111.3,74.37,69.56,123.63,111.3,98.96,37017,32190,36679,0,33958,0,0,13.66%,1428,56103,4743,3315,22.57%,305,4718,493,188,1.90%,15381,725,3488,2763,0,24.75%,110.81,111.06,0.54,12949,17293,-4344,94.64,956,0.59,0.59,22.17%,22.96%
2021/10/8,121,130,120,130,115.5,115,113.13,74.78,69.92,125.16,113.13,101.09,44931,36210,35420,872,34830,872,0,14.01%,2766,58519,5920,3154,23.54%,-27,4691,155,182,1.89%,13755,-1626,2364,3987,3,22.14%,112.95,111.53,0.61,12851,17514,-4663,95.43,1624,0.9,0.9,21.27%,22.12%
2021/10/12,131.5,135.5,125.5,133,120.3,116.85,114.75,75.19,70.29,128.22,114.75,101.28,113622,52104,44121,3098,37928,3099,1,15.26%,-1220,57275,15673,16893,23.04%,-43,4648,359,402,1.87%,14248,493,5107,4614,0,22.93%,117.17,111.55,0.18,12734,17965,-5231,98.33,3453,1.33,1.33,23.47%,22.79%
2021/10/13,135.5,139,130,131.5,124.2,117.95,115.8,75.59,70.66,130.95,115.8,100.65,86823,60706,48021,1272,39200,1303,31,15.77%,570,57637,9911,9341,23.18%,-153,4495,383,536,1.81%,14308,60,4139,4079,0,23.03%,119.44,112.01,0.36,12747,18099,-5352,99.55,5242,1.73,1.73,26.16%,24.48%
2021/10/14,135,137,127,130,128.6,119.45,116.85,75.99,71.02,132.85,116.85,100.85,53048,67088,48926,350,39550,398,48,15.91%,-1147,56119,6385,7532,22.57%,-18,4477,383,401,1.80%,15290,982,3598,2616,0,24.61%,120.35,112.59,0.27,12783,18088,-5305,99.87,5592,1.67,1.67,27.39%,25.93%
2021/10/15,135,143,129.5,143,133.5,122.25,118.25,76.46,71.44,137.85,118.25,98.65,93188,78322,55256,180,39730,280,100,15.98%,-241,55364,12452,12693,22.27%,473,4950,971,498,1.99%,17304,2014,7011,4997,0,27.85%,120.64,113.92,-0.092,13316,17122,-3806,100.12,5772,1.47,1.47,33.16%,29.55%
2021/10/18,142.5,145.5,137.5,141,135.7,125.6,119.73,76.91,71.84,141.41,119.73,98.04,70941,83524,59867,1702,41432,1762,60,16.67%,-999,54259,7146,8145,21.83%,-57,4893,231,288,1.97%,15202,-2102,3189,5288,3,24.47%,123.75,114.86,-0.14,13423,17088,-3665,101.88,6602,1.58,1.58,36.22%,32.88%
2021/10/19,144.5,155,142.5,147.5,138.6,129.45,121.48,77.4,72.28,146,121.48,96.95,102342,81268,66686,2261,43693,2278,17,17.58%,2545,56775,11926,9381,22.84%,-55,4838,297,352,1.95%,14027,-1175,3119,4294,0,22.57%,126.99,115.18,0.82,13824,16754,-2930,104.32,5765,1.42,1.42,40.38%,36.63%
2021/10/20,149,154,146.5,153.5,143,133.6,123.45,77.92,72.74,151.38,123.45,95.52,61303,76164,68435,982,44675,982,0,17.97%,-227,56408,6304,6531,22.69%,235,5073,395,160,2.04%,14344,317,2829,2512,0,23.08%,128.64,115.18,0.64,14047,16753,-2706,105.34,5475,1.44,1.44,45.25%,40.94%
2021/10/21,152.5,157.5,150.5,151.5,147.3,137.95,125.73,78.42,73.19,154.98,125.73,96.47,61412,77837,72463,505,45180,908,403,18.18%,-2258,54259,5413,7671,21.83%,-208,4865,309,517,1.96%,13956,-388,2430,2817,1,22.46%,130.17,122.35,0.076,12801,16738,-3937,106.32,5630,1.45,1.45,46.54%,43.74%
2021/10/22,153,166.5,152.5,166.5,152,142.75,128.28,79,73.71,162.06,128.28,94.49,66504,72500,75411,443,45623,684,241,18.36%,2497,56465,8140,5643,22.71%,62,4927,487,425,1.98%,13951,-5,3295,3292,8,22.45%,133.95,126.12,0.13,12719,16736,-4017,107.13,5893,1.63,1.63,52.67%,48.21%
2021/10/25,169,176,166.5,176,159,147.35,131.18,79.63,74.27,170.45,131.18,91.91,79406,74193,78859,1532,47155,1714,182,18.97%,-2280,54164,6824,9104,21.79%,-63,4865,250,313,1.96%,14270,319,2949,2630,0,22.97%,138.34,129.78,-0.03,12703,16738,-4035,109.47,5723,1.54,1.54,59.87%,54.04%
2021/10/26,177,179,161,163,162.1,150.35,133.6,80.18,74.78,174.41,133.6,92.79,73339,68393,74831,-131,47024,27,158,18.92%,2441,56517,8400,5959,22.73%,-221,4644,465,686,1.87%,11768,-2502,3127,5629,0,18.94%,138.4,132.33,0.086,12776,16455,-3679,109.5,3331,0.97,0.97,61.09%,57.57%
2021/10/27,164.5,179,164,179,167.2,155.1,136.53,80.82,75.35,181.35,136.53,91.7,68565,69845,73005,1115,48139,1365,250,19.37%,-89,56247,6762,6851,22.63%,511,5155,786,275,2.07%,12922,1154,4549,3395,0,20.80%,141.32,135.83,0.026,12699,16452,-3753,111.3,3464,0.99,0.99,65.67%,61.62%
2021/10/28,185,196.5,180.5,196.5,176.2,161.75,140.6,81.54,76,191.29,140.6,89.91,65008,70564,74201,3582,51721,3707,125,20.81%,3154,58724,10023,6869,23.62%,-108,5047,220,328,2.03%,11106,-1816,1558,3373,1,17.87%,151.23,138.11,0.17,12583,16455,-3872,117.01,6541,1.85,1.85,72.11%,66.86%
2021/10/29,215.5,215.5,198,201,183.1,167.55,144.9,82.3,76.66,200.53,144.9,89.27,89283,75120,73810,-94,51627,431,525,20.77%,-748,57865,6900,7648,23.28%,-337,4710,321,659,1.89%,11792,686,3894,3197,11,18.98%,152.31,152.38,0.14,12485,16619,-4134,117.75,6004,1.6,1.6,76.78%,71.82%
2021/11/1,204,219,203,210,189.9,174.45,150.03,83.08,77.36,209.67,150.03,90.38,59128,71065,72629,-646,50981,0,646,20.51%,1099,58965,7847,6748,23.72%,128,4838,474,346,1.95%,11657,-135,2598,2732,1,18.76%,152.71,162.53,0.1,12580,16396,-3816,117.75,3826,1.08,1.08,79.51%,75.66%
2021/11/2,212,217,195.5,205.5,198.4,180.25,154.85,83.85,78.03,216.03,154.85,93.67,51963,66789,67591,-1382,49599,0,1382,19.96%,3724,62628,10282,6558,25.19%,-275,4563,160,436,1.84%,10908,-749,2201,2948,2,17.55%,156.42,180.68,-0.011,12535,16507,-3972,117.75,2575,0.77,0.77,79.02%,77.34%
2021/11/3,210,211.5,187,193.5,201.3,184.25,158.93,84.58,78.65,218.99,158.93,98.86,47895,62655,66250,-3897,45702,33,3930,18.39%,6128,68756,10999,4871,27.66%,-207,4356,180,387,1.75%,10573,-335,2629,2964,0,17.02%,156.48,192.89,-0.57,12592,16497,-3905,117.81,-2437,-0.78,-0.78,75.59%,76.46%
