時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,208,208,196.5,202.5,205.6,194.8,195.9,221.32,N/A,227.64,195.9,164.16,188,306,296,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.44,11987,17513,-5526,N/A,N/A,N/A,N/A,32.40%,33.63%
2021/9/30,206,206,196,199.5,205.9,196.65,194.65,221.73,N/A,223.63,194.65,165.67,88,255,272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.42,12194,17186,-4992,N/A,N/A,N/A,N/A,29.78%,31.71%
2021/10/1,199.5,199.5,184.5,187,203.8,197.3,192.83,222.08,N/A,218.75,192.83,166.9,367,302,290,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.41,12100,18183,-6083,N/A,N/A,N/A,N/A,26.89%,29.30%
2021/10/4,189,194,179.5,180.5,196,197.45,191.1,222.4,N/A,215.43,191.1,166.77,213,236,299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.18,12265,18200,-5935,N/A,N/A,N/A,N/A,25.47%,27.38%
2021/10/5,177,188.5,174.5,187,191.3,198.15,190.05,222.76,N/A,213.16,190.05,166.94,150,201,298,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8,12618,18127,-5509,N/A,N/A,N/A,N/A,24.32%,25.85%
2021/10/6,189,189.5,182.5,188,188.4,197,189.9,223.14,N/A,213.02,189.9,166.78,100,184,245,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.71,12642,18125,-5483,N/A,N/A,N/A,N/A,24.35%,25.10%
2021/10/7,188,201,186,199.5,188.4,197.15,190.58,223.59,N/A,213.99,190.58,167.17,202,206,231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.54,12949,17293,-4344,N/A,N/A,N/A,N/A,24.57%,24.83%
2021/10/8,200,211,199,206,192.2,198,192.1,224.07,N/A,215.36,192.1,168.84,762,285,294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.61,12851,17514,-4663,N/A,N/A,N/A,N/A,24.21%,24.52%
2021/10/12,206,206,198.5,200.5,196.2,196.1,192.9,224.53,N/A,216.16,192.9,169.64,114,266,251,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.18,12734,17965,-5231,N/A,N/A,N/A,N/A,24.11%,24.32%
2021/10/13,205,205,197,198,198.4,194.85,193.8,224.97,N/A,216.37,193.8,171.23,133,262,232,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.36,12747,18099,-5352,N/A,N/A,N/A,N/A,23.30%,23.81%
2021/10/14,200,200.5,189,196,200,194.2,194.5,225.41,N/A,216.42,194.5,172.58,141,270,227,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.27,12783,18088,-5305,N/A,N/A,N/A,N/A,22.54%,23.18%
2021/10/15,196,196,188.5,194,198.9,193.65,195.15,225.84,N/A,216.19,195.15,174.11,150,260,233,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.092,13316,17122,-3806,N/A,N/A,N/A,N/A,21.56%,22.37%
2021/10/18,196,197.5,191,192,196.1,194.15,195.73,226.25,N/A,215.73,195.73,175.72,68,121,203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.14,13423,17088,-3665,N/A,N/A,N/A,N/A,20.45%,21.41%
2021/10/19,190.5,195,189.5,195,195,195.6,196.53,226.68,N/A,215.02,196.53,178.03,82,115,190,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.82,13824,16754,-2930,N/A,N/A,N/A,N/A,18.82%,20.11%
2021/10/20,194.5,194.5,190.5,193.5,194.1,196.25,197.2,227.1,N/A,214.15,197.2,180.25,53,99,181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.64,14047,16753,-2706,N/A,N/A,N/A,N/A,17.19%,18.65%
2021/10/21,194,203,190.5,200.5,195,197.5,197.25,227.56,N/A,214.23,197.25,180.27,326,136,203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.076,12801,16738,-3937,N/A,N/A,N/A,N/A,17.22%,17.94%
2021/10/22,199,202,199,201,196.4,197.65,197.4,228.02,N/A,214.46,197.4,180.34,211,148,204,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.13,12719,16736,-4017,N/A,N/A,N/A,N/A,17.29%,17.61%
2021/10/25,199.5,199.5,178,191.5,196.3,196.2,197.1,228.43,N/A,214.35,197.1,179.85,900,314,218,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.03,12703,16738,-4035,N/A,N/A,N/A,N/A,17.51%,17.56%
2021/10/26,192.5,192.5,186,189.5,195.2,195.1,195.6,228.83,N/A,209.74,195.6,181.46,122,322,219,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.086,12776,16455,-3679,N/A,N/A,N/A,N/A,14.46%,16.01%
2021/10/27,190,191,185,189.5,194.4,194.25,194.55,229.24,N/A,207.14,194.55,181.96,110,334,216,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.026,12699,16452,-3753,N/A,N/A,N/A,N/A,12.94%,14.47%
2021/10/28,187,188.5,184.5,187.5,191.8,193.4,193.8,229.63,N/A,206.19,193.8,181.41,141,297,216,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.17,12583,16455,-3872,N/A,N/A,N/A,N/A,12.79%,13.63%
2021/10/29,184.5,189.5,184.5,186.5,188.9,192.65,193.15,230.02,N/A,205.64,193.15,180.66,222,299,224,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.14,12485,16619,-4134,N/A,N/A,N/A,N/A,12.93%,13.28%
2021/11/1,189.5,192,186,190.5,188.7,192.5,193.33,230.42,N/A,205.56,193.33,181.09,314,182,248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1,12580,16396,-3816,N/A,N/A,N/A,N/A,12.66%,12.97%
2021/11/2,191.5,204.5,191.5,201,191,193.1,194.35,230.88,N/A,205.5,194.35,183.2,541,266,294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.011,12535,16507,-3972,N/A,N/A,N/A,N/A,11.48%,12.22%
2021/11/3,204.5,224,200,220.5,197.2,195.8,196.03,231.41,N/A,211.49,196.03,180.56,1353,514,424,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.57,12592,16497,-3905,N/A,N/A,N/A,N/A,15.78%,14.00%
2021/11/4,221,231,219,222,204.1,197.95,197.73,231.96,N/A,216.42,197.73,179.03,990,684,490,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.2,12612,16176,-3564,N/A,N/A,N/A,N/A,18.91%,16.46%
2021/11/5,222,230,214.5,229,212.6,200.75,199.2,232.52,N/A,222.35,199.2,176.05,413,722,511,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.088,12650,15701,-3051,N/A,N/A,N/A,N/A,23.24%,19.85%
2021/11/8,224,230,222.5,227.5,220,204.35,200.28,233.04,N/A,226.39,200.28,174.16,288,717,449,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0082,12763,15481,-2718,N/A,N/A,N/A,N/A,26.08%,22.97%
2021/11/9,228.5,235,227,228,225.4,208.2,201.65,233.6,N/A,230.43,201.65,172.87,369,683,474,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.073,12714,15162,-2448,N/A,N/A,N/A,N/A,28.55%,25.76%
2021/11/10,229.5,229.5,213,218.5,225,211.1,202.68,234.11,N/A,232.31,202.68,173.04,479,508,511,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.25,12634,14882,-2248,N/A,N/A,N/A,N/A,29.25%,27.50%
2021/11/11,217.5,221,214,221,224.8,214.45,203.93,234.61,N/A,234.43,203.93,173.42,290,368,526,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.051,12592,14595,-2003,N/A,N/A,N/A,N/A,29.91%,28.71%
2021/11/12,217,231,217,225.5,224.1,218.35,205.5,235.14,214.93,237.02,205.5,173.98,439,373,548,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.34,12638,14588,-1950,N/A,N/A,N/A,N/A,30.68%,29.69%
2021/11/15,225.5,235,225,228,224.2,222.1,207.3,235.68,215.35,239.64,207.3,174.96,937,503,610,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0041,12616,14269,-1653,N/A,N/A,N/A,N/A,31.20%,30.45%
2021/11/16,229,255,229,249,228.4,226.9,210,236.33,215.91,246.52,210,173.48,1815,792,737,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.52,12678,14267,-1589,N/A,N/A,N/A,N/A,34.78%,32.61%
