時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,113.5,116,113,114,116.2,115.6,120.08,122.27,115.08,133.63,120.08,106.52,464,685,951,103,10877,103,0,13.05%,-32,2998,72,104,3.59%,-9,2674,1,10,3.21%,5083,5,48,42,1,24.40%,115.28,115.81,0.44,11987,17513,-5526,106.28,240,7.01,7.01,22.57%,22.80%
2021/9/30,114,116.5,113.5,115,115.5,115.8,119.35,122.4,115.27,132.35,119.35,106.35,440,554,771,40,11042,40,0,13.25%,-91,2982,55,146,3.57%,-3,2670,0,3,3.20%,5064,-19,50,68,1,24.31%,115.23,115.81,0.42,12194,17186,-4992,106.31,280,10.11,10.11,21.78%,22.29%
2021/10/1,114.5,115,109,109,113.9,115.45,118.2,122.5,115.43,130.57,118.2,105.83,1333,634,827,-200,10842,0,200,13.01%,182,3369,475,293,4.04%,-33,2637,16,49,3.16%,4975,-89,140,228,1,23.88%,115.23,115.61,0.41,12100,18183,-6083,106.31,80,2.52,2.52,20.93%,21.61%
2021/10/4,110,110.5,101,102,111.2,114.35,116.83,122.59,115.57,129.96,116.83,103.69,1363,807,899,0,10842,0,0,13.01%,373,3751,536,164,4.50%,-90,2547,25,115,3.06%,4707,-268,91,358,1,22.60%,115.23,115.61,0.18,12265,18200,-5935,106.31,80,1.98,1.98,22.48%,22.05%
2021/10/5,99,105.5,97.6,104,108.8,112.75,115.38,122.68,115.7,127.4,115.38,103.35,1300,980,847,-72,10770,0,72,12.93%,330,4081,646,316,4.89%,1,2548,22,22,3.06%,4411,-296,69,360,5,21.18%,115.23,115,0.8,12618,18127,-5509,106.31,-129,-2.63,-2.63,20.84%,21.44%
2021/10/6,104.5,105,97.9,99.2,105.84,111.02,113.89,122.74,115.81,126.17,113.89,101.6,1470,1181,933,-300,10470,0,300,12.57%,-1,4081,311,312,4.89%,-57,2491,40,97,2.99%,4346,-65,208,237,36,20.86%,115.23,113.46,0.71,12642,18125,-5483,106.31,-532,-9.01,-9.01,21.57%,21.51%
2021/10/7,100.5,107,100.5,107,104.24,109.87,112.96,122.84,115.96,124.36,112.96,101.56,1313,1356,955,-50,10420,0,50,12.51%,512,4509,694,182,5.41%,8,2499,32,24,3.00%,4404,58,192,133,1,21.14%,115.23,113.22,0.54,12949,17293,-4344,106.31,-622,-9.18,-9.18,20.19%,20.85%
2021/10/8,106,109,104,107.5,103.94,108.92,112.51,122.94,116.12,124.03,112.51,100.99,836,1256,945,0,10420,0,0,12.51%,278,4713,400,122,5.65%,-2,2497,28,30,3.00%,4268,-136,42,177,1,20.49%,115.23,112.81,0.61,12851,17514,-4663,106.31,-422,-6.72,-6.72,20.47%,20.66%
2021/10/12,107.5,109,104,104.5,104.44,107.82,111.74,123.02,116.27,123.22,111.74,100.25,675,1119,963,0,10420,0,0,12.51%,-215,4458,140,355,5.35%,1,2498,16,15,3.00%,4325,57,112,54,1,20.76%,115.23,112.6,0.18,12734,17965,-5231,106.31,-422,-7.54,-7.54,20.55%,20.61%
2021/10/13,104.5,105.5,100.5,101,103.84,106.32,110.94,123.09,116.4,123.05,110.94,98.82,750,1009,994,0,10420,0,0,12.51%,-155,4307,178,333,5.16%,-6,2493,28,34,2.99%,4329,4,118,113,1,20.78%,115.23,111.33,0.36,12747,18099,-5352,106.31,-350,-6.94,-6.94,21.84%,21.22%
