時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,375,379,369,370.5,387.5,394.85,408.1,443.17,420.17,440.2,408.1,376,3043,1532,1701,19,4299,19,0,2.18%,-562,91881,562,1125,46.62%,-41,3200,68,109,1.62%,6454,-163,172,285,50,13.10%,391.76,416.77,0.44,11987,17513,-5526,425.26,19,0.25,0.25,15.73%,14.08%
2021/9/30,372.5,381.5,372,377,383.8,391.3,405.6,443.3,420.64,439.18,405.6,372.02,2206,1732,1840,3,4574,3,0,2.32%,-45,92003,843,888,46.68%,-17,3183,34,51,1.62%,6519,65,150,79,6,13.23%,391.23,416.77,0.42,12194,17186,-4992,425.23,22,0.25,0.25,16.56%,15.32%
2021/10/1,374,383,373,378.5,380.7,389.15,402.7,443.4,421.07,435.1,402.7,370.3,2176,1929,1805,33,4607,33,0,2.34%,-70,91909,926,996,46.63%,-9,3174,40,49,1.61%,6497,-22,84,103,3,13.19%,387.61,416.77,0.41,12100,18183,-6083,424.89,55,0.57,0.57,16.09%,15.71%
2021/10/4,384,387,376.5,378,377.9,386.5,400.4,443.53,421.52,432.96,400.4,367.84,2086,2148,1777,33,4640,33,0,2.35%,-363,91563,1015,1378,46.46%,21,3195,52,31,1.62%,6508,11,83,69,3,13.21%,386.04,416.68,0.18,12265,18200,-5935,424.58,88,0.82,0.82,16.26%,15.98%
2021/10/5,371,384,367,380,376.8,384.4,398.18,443.67,421.98,429.91,398.18,366.44,2044,2311,1784,2,4642,2,0,2.36%,152,91279,1322,1170,46.31%,-22,3172,34,57,1.61%,6459,-49,37,74,12,13.11%,385.92,416.68,0.8,12618,18127,-5509,424.56,90,0.78,0.78,15.94%,15.96%
2021/10/6,383.5,385.5,370,370,376.7,382.1,395.93,443.79,422.4,428.93,395.93,362.92,1901,2083,1807,38,4680,38,0,2.37%,-945,90250,375,1320,45.79%,2,3174,48,46,1.61%,6517,58,110,50,2,13.23%,383.67,411.76,0.71,12642,18125,-5483,424.15,109,1.05,1.05,16.67%,16.32%
2021/10/7,376,376.5,372.5,376,376.5,380.15,393.68,443.97,422.83,425.65,393.68,361.7,1083,1858,1795,1,4681,1,0,2.38%,-375,89967,266,640,45.65%,-24,3150,19,43,1.60%,6602,85,109,24,0,13.40%,383.63,402.67,0.54,12949,17293,-4344,424.14,107,1.15,1.15,16.25%,16.28%
2021/10/8,382,382.5,376,376.5,376.1,378.4,391.93,444.14,423.2,423.64,391.93,360.21,1758,1774,1852,0,4681,0,0,2.38%,-803,89392,361,1164,45.35%,8,3159,42,34,1.60%,6690,88,187,96,3,13.58%,381.17,402.67,0.61,12851,17514,-4663,424.14,74,0.83,0.83,16.18%,16.23%
2021/10/12,370.5,374,362,366,373.7,375.8,389.45,444.27,423.5,421.15,389.45,357.75,2208,1799,1974,-7,4674,0,7,2.37%,-751,88889,536,1287,45.10%,11,3170,72,61,1.61%,6732,42,139,89,8,13.66%,381.17,394.1,0.18,12734,17965,-5231,424.14,34,0.38,0.38,16.28%,16.25%
2021/10/13,364.5,366.5,350,350.5,367.8,372.3,385.85,444.4,423.73,418.06,385.85,353.64,2784,1947,2129,-146,4528,0,146,2.30%,-77,88867,841,918,45.09%,-20,3151,69,89,1.60%,6561,-171,217,379,9,13.32%,381.17,361.47,0.36,12747,18099,-5352,424.14,-114,-1.17,-1.17,16.70%,16.48%
2021/10/14,353.5,356.5,346.5,352.5,364.3,370.5,382.68,444.51,423.98,414.89,382.68,350.46,1964,1959,2021,-6,4522,1,7,2.29%,148,89144,1036,888,45.23%,-35,3115,90,125,1.58%,6526,-35,92,111,16,13.25%,381,360.76,0.27,12783,18088,-5305,424.13,-158,-1.61,-1.61,16.84%,16.66%
2021/10/15,359,363.5,354,359.5,361,368.75,380.03,444.64,424.24,410.68,380.03,349.37,2129,2169,2013,2,4524,2,0,2.30%,-27,89239,914,941,45.28%,30,3146,87,57,1.60%,6523,-3,127,129,1,13.24%,380.74,360.46,-0.092,13316,17122,-3806,424.1,-157,-1.45,-1.45,16.13%,16.39%
2021/10/18,361,361.5,350.5,354.5,356.6,366.35,377.75,444.77,424.48,408.88,377.75,346.62,2000,2217,1996,0,4524,0,0,2.30%,-252,89047,950,1202,45.18%,9,3155,30,21,1.60%,6584,61,106,42,3,13.36%,380.74,358.98,-0.14,13423,17088,-3665,424.1,-157,-1.42,-1.42,16.48%,16.44%
2021/10/19,354.5,366.5,353,364.5,356.3,365,375.75,444.96,424.76,404.82,375.75,346.68,1531,2082,1940,0,4524,0,0,2.30%,415,89442,884,469,45.38%,24,3179,37,13,1.61%,6530,-54,77,131,0,13.25%,380.74,355.08,0.82,13824,16754,-2930,424.1,-150,-1.44,-1.44,15.47%,15.96%
