時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,99.1,100,98.9,99.9,100.34,99.73,101.14,121.78,114.17,105.5,101.14,96.78,95,64,79,0,40,0,0,0.03%,-17,1249,10,27,1.05%,-3,6,0,3,0.01%,1760,-14,2,16,0,5.94%,99.29,156.74,0.44,11987,17513,-5526,110.45,5,1.56,1.56,8.62%,9.18%
2021/9/30,99.6,100,98.5,99.9,100.4,99.74,100.86,121.87,114.29,104.76,100.86,96.96,60,63,75,0,40,0,0,0.03%,10,1260,17,7,1.06%,0,6,0,0,0.01%,1748,-12,0,12,0,5.89%,99.29,156.74,0.42,12194,17186,-4992,110.45,0,0,0,7.73%,8.46%
2021/10/1,99.6,99.6,95.7,95.7,99.24,99.47,100.32,121.94,114.38,103.93,100.32,96.71,195,89,82,0,40,0,0,0.03%,-55,1193,7,62,1.00%,0,6,0,0,0.01%,1771,23,34,10,1,5.97%,99.29,156.74,0.41,12100,18183,-6083,110.45,0,0,0,7.19%,7.82%
2021/10/4,95.7,98.9,91,91,97.14,98.69,99.72,122,114.46,104.96,99.72,94.48,202,121,97,0,40,0,0,0.03%,-51,1142,16,67,0.96%,0,6,0,0,0.01%,1761,-10,19,27,2,5.94%,99.29,156.74,0.18,12265,18200,-5935,110.45,0,0,0,10.52%,9.17%
2021/10/5,90.1,92,87.9,91.9,95.68,97.88,99.09,122.07,114.54,104.88,99.09,93.3,203,151,105,0,40,0,0,0.03%,42,1193,68,26,1.00%,0,6,0,0,0.01%,1741,-20,12,32,0,5.87%,99.29,156.74,0.8,12618,18127,-5509,110.45,0,0,0,11.69%,10.43%
2021/10/6,94.9,94.9,91,91.1,93.92,97.13,98.55,122.12,114.62,105.14,98.55,91.95,74,147,105,0,40,0,0,0.03%,-22,1167,7,29,0.98%,1,7,1,0,0.01%,1738,-3,9,12,0,5.86%,99.29,156.74,0.71,12642,18125,-5483,110.45,0,0,0,13.38%,11.91%
2021/10/7,93,98.5,93,97.4,93.42,96.91,98.37,122.2,114.72,104.88,98.37,91.85,147,164,114,0,40,0,0,0.03%,72,1291,89,17,1.08%,2,9,4,2,0.01%,1733,-5,16,21,0,5.84%,99.29,156.74,0.54,12949,17293,-4344,110.45,0,0,0,13.24%,12.57%
2021/10/8,98.8,99.5,96,96.4,93.56,96.4,98.14,122.26,114.81,104.58,98.14,91.69,36,132,111,0,40,0,0,0.03%,6,1296,8,2,1.09%,0,9,0,0,0.01%,1729,-4,1,5,0,5.83%,99.29,156.74,0.61,12851,17514,-4663,110.45,0,0,0,13.14%,12.85%
2021/10/12,96.4,99.1,95.1,98.9,95.14,96.14,98.03,122.32,114.89,104.35,98.03,91.71,56,103,112,0,40,0,0,0.03%,7,1300,22,15,1.09%,0,9,0,0,0.01%,1733,4,7,2,1,5.84%,99.29,156.74,0.18,12734,17965,-5231,110.45,0,0,0,12.90%,12.88%
2021/10/13,96.8,98.5,95.1,95.7,95.9,95.79,97.77,122.37,114.96,104.01,97.77,91.52,70,77,114,0,40,0,0,0.03%,0,1300,15,15,1.09%,1,10,1,0,0.01%,1711,-22,2,24,0,5.77%,99.29,156.74,0.36,12747,18099,-5352,110.45,0,0,0,12.78%,12.83%
2021/10/14,96.9,96.9,94.3,95.7,96.82,95.37,97.55,122.38,115.04,103.77,97.55,91.33,57,73,110,0,40,0,0,0.03%,-8,1292,21,29,1.08%,0,10,0,0,0.01%,1710,-1,0,1,0,5.77%,99.29,156.74,0.27,12783,18088,-5305,110.45,0,0,0,12.75%,12.79%
2021/10/15,95.7,97.8,95.7,96.8,96.7,95.06,97.4,122.38,115.11,103.54,97.4,91.26,57,55,110,0,40,0,0,0.03%,36,1328,37,1,1.11%,1,11,1,0,0.01%,1707,-3,0,3,0,5.76%,99.29,156.74,-0.092,13316,17122,-3806,110.45,0,0,0,12.61%,12.70%
2021/10/18,96.9,98.6,96.9,97.8,96.98,95.27,97.37,122.38,115.19,103.5,97.37,91.24,55,59,96,0,40,0,0,0.03%,6,1286,19,13,1.08%,1,12,1,0,0.01%,1708,1,6,5,0,5.76%,99.29,156.74,-0.14,13423,17088,-3665,110.45,0,0,0,12.58%,12.64%
2021/10/19,97.8,101,97.8,99.9,97.18,96.16,97.43,122.39,115.29,103.62,97.43,91.23,115,71,87,0,40,0,0,0.03%,60,1346,62,2,1.13%,1,13,4,3,0.01%,1704,-4,6,10,0,5.75%,99.29,156.74,0.82,13824,16754,-2930,110.45,0,0,0,12.72%,12.68%
2021/10/20,101,103.5,101,101.5,98.34,97.12,97.5,122.45,115.4,103.85,97.5,91.15,114,80,78,0,40,0,0,0.03%,-2,1344,14,16,1.13%,0,13,0,0,0.01%,1712,8,13,5,0,5.77%,99.29,156.74,0.64,14047,16753,-2706,110.45,0,0,0,13.03%,12.86%
2021/10/21,101.5,103.5,101.5,102,99.6,98.21,97.67,122.5,115.51,104.31,97.67,91.03,98,88,81,0,40,0,0,0.03%,0,1343,19,19,1.13%,0,13,0,0,0.01%,1737,25,30,5,0,5.86%,99.29,156.74,0.076,12801,16738,-3937,110.45,0,0,0,13.59%,13.22%
2021/10/22,102.5,103,101.5,101.5,100.54,98.62,97.77,122.55,115.62,104.56,97.77,90.97,75,91,73,0,40,0,0,0.03%,17,1355,29,12,1.14%,0,13,0,0,0.01%,1744,7,17,10,0,5.88%,99.29,156.74,0.13,12719,16736,-4017,110.45,0,0,0,13.91%,13.57%
2021/10/25,102,103,101.5,101.5,101.28,99.13,97.77,122.6,115.74,104.56,97.77,90.97,44,89,74,0,40,0,0,0.03%,9,1359,15,6,1.14%,0,13,0,0,0.01%,1739,-5,4,3,6,5.86%,99.29,156.74,-0.03,12703,16738,-4035,110.45,0,0,0,13.91%,13.74%
2021/10/26,102,108,102,104.5,102.2,99.69,97.92,122.67,115.86,105.15,97.92,90.68,335,133,102,0,40,0,0,0.03%,115,1471,128,13,1.24%,3,16,3,0,0.01%,1712,-27,18,45,0,5.77%,99.29,156.74,0.086,12776,16455,-3679,110.45,0,0,0,14.79%,14.26%
2021/10/27,104.5,106,103.5,105.5,103,100.67,98.23,122.75,115.99,106.18,98.23,90.28,73,125,102,0,40,0,0,0.03%,4,1466,18,14,1.23%,0,16,0,0,0.01%,1720,8,15,7,0,5.80%,99.29,156.74,0.026,12699,16452,-3753,110.45,0,0,0,16.18%,15.22%
2021/10/28,105.5,105.5,105,105.5,103.7,101.65,98.51,122.83,116.12,107.05,98.51,89.97,53,116,102,0,40,0,0,0.03%,-4,1454,5,9,1.22%,0,16,0,0,0.01%,1730,10,15,5,0,5.83%,99.29,156.74,0.17,12583,16455,-3872,110.45,0,0,0,17.33%,16.28%
2021/10/29,106,107,103.5,104.5,104.3,102.42,98.74,122.9,116.24,107.65,98.74,89.83,104,122,107,0,40,0,0,0.03%,-24,1209,7,31,1.00%,-1,15,0,1,0.01%,1762,32,39,7,0,5.94%,99.29,156.74,0.14,12485,16619,-4134,110.45,0,0,0,18.06%,17.17%
2021/11/1,105.5,114.5,105.5,114.5,106.9,104.09,99.68,123.02,116.41,110.8,99.68,88.56,387,190,140,0,40,0,0,0.03%,20,1224,65,45,1.02%,0,15,0,0,0.01%,1777,15,34,19,0,5.99%,99.29,156.74,0.1,12580,16396,-3816,110.45,0,0,0,22.32%,19.74%
2021/11/2,115.5,117.5,110,112,108.4,105.3,100.73,123.11,116.56,112.33,100.73,89.13,410,205,169,0,40,0,0,0.03%,-154,1076,11,165,0.89%,11,26,11,0,0.02%,1809,32,57,25,0,6.10%,99.29,156.74,-0.011,12535,16507,-3972,110.45,0,0,0,23.04%,21.39%
2021/11/3,113,114,112,112.5,109.8,106.4,101.76,123.22,116.72,113.7,101.76,89.82,112,213,169,0,40,0,0,0.03%,-10,1056,16,26,0.88%,-1,25,0,1,0.02%,1779,-30,5,23,12,6.00%,99.29,156.74,-0.57,12592,16497,-3905,110.45,0,0,0,23.46%,22.43%
2021/11/4,112,113,111,112,111.1,107.4,102.81,123.31,116.86,114.48,102.81,91.13,72,217,167,0,40,0,0,0.03%,2,1058,15,13,0.88%,0,25,0,0,0.02%,1779,0,4,4,0,6.00%,99.29,156.74,-0.2,12612,16176,-3564,110.45,0,0,0,22.72%,22.57%
2021/11/5,112,112,109,110,112.2,108.25,103.44,123.4,117,115.24,103.44,91.63,95,215,169,0,40,0,0,0.03%,-23,1030,7,30,0.86%,0,25,0,0,0.02%,1780,1,8,7,0,6.00%,99.29,156.74,-0.088,12650,15701,-3051,110.45,0,0,0,22.82%,22.70%
2021/11/8,110.5,110.5,107,107.5,110.8,108.85,103.99,123.46,117.13,115.46,103.99,92.52,114,161,176,0,40,0,0,0.03%,3,1033,23,20,0.86%,1,26,1,0,0.02%,1772,-8,18,17,9,5.98%,99.29,156.74,0.0082,12763,15481,-2718,110.45,0,0,0,22.05%,22.37%
2021/11/9,107.5,107.5,106,107,109.8,109.1,104.4,123.54,117.26,115.68,104.4,93.11,89,96,151,0,40,0,0,0.03%,27,1075,30,3,0.89%,0,26,0,0,0.02%,1794,22,26,4,0,6.05%,99.29,156.74,0.073,12714,15162,-2448,110.45,0,0,0,21.63%,22.00%
2021/11/10,107.5,108,106,107.5,108.8,109.3,104.99,123.62,117.39,115.61,104.99,94.36,64,87,150,0,40,0,0,0.03%,10,1085,19,9,0.90%,0,26,0,0,0.02%,1794,0,5,5,0,6.05%,99.29,156.74,0.25,12634,14882,-2248,110.45,0,0,0,20.24%,21.12%
2021/11/11,107.5,107.5,105,105,107.4,109.25,105.45,123.67,117.51,115.18,105.45,95.72,95,91,154,0,40,0,0,0.03%,7,1086,24,17,0.90%,1,27,1,0,0.02%,1761,-33,7,40,0,5.94%,99.29,156.74,0.051,12592,14595,-2003,110.45,0,0,0,18.46%,19.79%
2021/11/12,106,108.5,105.5,106,106.6,109.4,105.91,123.74,117.64,114.8,105.91,97.02,69,86,151,0,40,0,0,0.03%,-3,1081,16,19,0.90%,2,29,3,1,0.02%,1758,-3,7,9,1,5.87%,99.29,156.74,0.34,12638,14588,-1950,110.45,0,0,0,16.79%,18.29%
2021/11/15,106,110,106,108.5,106.8,108.8,106.45,123.82,117.77,114.57,106.45,98.32,129,89,125,0,40,0,0,0.03%,22,1103,38,16,0.92%,-2,27,0,2,0.02%,1758,0,14,14,0,5.87%,99.29,156.74,0.0041,12616,14269,-1653,110.45,0,0,0,15.27%,16.78%
2021/11/16,110,111.5,109.5,110.5,107.5,108.65,106.98,123.91,117.91,114.7,106.98,99.25,125,96,96,0,40,0,0,0.03%,-13,1087,21,34,0.90%,-6,21,2,8,0.02%,1762,4,15,11,0,5.88%,99.29,156.74,0.52,12678,14267,-1589,110.45,0,0,0,14.44%,15.61%
2021/11/17,109.5,109.5,107.5,108,107.6,108.2,107.3,124,118.03,114.61,107.3,99.99,86,101,94,0,40,0,0,0.03%,-5,1076,13,18,0.89%,0,21,0,0,0.02%,1763,1,7,6,0,5.89%,99.29,156.74,0.24,12770,14117,-1347,110.45,0,0,0,13.63%,14.62%
2021/11/18,108,109,106,108,108.2,107.8,107.6,124.05,118.16,114.5,107.6,100.7,125,107,99,0,40,0,0,0.03%,-3,1072,23,26,0.89%,2,23,2,0,0.02%,1759,-4,21,25,0,5.87%,99.29,156.74,-0.17,12713,13956,-1243,110.45,0,0,0,12.82%,13.72%
