時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/16,67.8,68.5,66.8,68.1,68.26,68.5,69.73,59.02,56.83,75.2,69.73,64.26,9863,18636,18812,62,50443,62,0,9.23%,397,61274,2310,1913,11.21%,-129,5047,192,321,0.92%,17094,-695,247,942,0,12.51%,69.5,69.64,-0.17,14165,16528,-2363,64.26,-2138,-2.29,-2.29,15.69%,17.97%
2021/9/17,68.9,74.9,68.5,74,68.78,68.62,70.02,59.13,56.94,75.74,70.02,64.29,70673,28271,24340,8591,59034,8591,0,10.80%,3977,65158,11833,7856,11.92%,-8,5038,948,956,0.92%,20499,3405,7092,3680,7,15.00%,71.12,69.64,0.38,14217,16506,-2289,65.48,6032,4.27,4.27,16.37%,17.17%
2021/9/22,72.6,74,71.2,74,70.22,68.92,70.3,59.25,57.07,76.23,70.3,64.36,29062,27381,26101,116,59150,116,0,10.82%,-1287,63983,4789,6076,11.70%,130,5169,486,356,0.95%,20540,41,3792,3751,0,15.03%,71.15,69.64,0.64,12955,17206,-4251,65.49,9579,7,7,16.87%,17.02%
2021/9/23,75.7,78.9,74,75.2,71.84,69.69,70.46,59.37,57.2,76.73,70.46,64.19,75871,39111,31806,1879,61029,2788,909,11.17%,-5645,58828,8803,14448,10.76%,795,5964,1447,652,1.09%,21252,712,6422,5710,0,15.56%,71.75,69.97,0.1,13094,16906,-3812,65.99,11280,5.77,5.77,17.81%,17.41%
2021/9/24,76,77.2,73,73.2,72.9,70.67,70.44,59.48,57.31,76.68,70.44,64.2,39548,45003,33635,-5166,55863,763,5929,10.22%,-1631,57371,4386,6017,10.49%,104,6068,1000,896,1.11%,22296,1044,4968,3922,2,16.32%,71.84,71.11,0.11,13165,16528,-3363,66.11,5482,2.44,2.44,17.71%,17.56%
2021/9/27,69,69.3,66.8,67.8,72.84,70.55,70.28,59.56,57.41,76.61,70.28,63.95,47061,52443,35540,-1691,54172,229,1920,9.91%,-5669,51991,5085,10754,9.51%,-51,6017,980,1031,1.10%,20760,-1536,3158,4689,5,15.20%,71.8,70.75,0.41,13176,16518,-3342,66.12,3729,1.42,1.42,18.02%,17.79%
2021/9/28,66.3,68.3,65.3,68.3,71.7,70.24,70.35,59.65,57.5,76.57,70.35,64.12,45828,47474,37873,-6908,47264,351,7259,8.65%,2886,54961,8004,5118,10.05%,816,6832,1517,701,1.25%,20827,67,2059,1992,0,15.24%,71.72,69.96,-0.27,12434,16640,-4206,66.13,-11770,-4.96,-4.96,17.69%,17.74%
2021/9/29,66.5,67.8,64.4,64.4,69.78,70,70.06,59.72,57.58,76.8,70.06,63.31,28621,47386,37384,-3982,43282,1481,5463,7.92%,-2160,52985,4845,7005,9.69%,-433,6399,509,942,1.17%,20408,-419,1536,1953,2,14.94%,71.77,69.26,0.44,11987,17513,-5526,66.12,-15868,-6.7,-6.7,19.25%,18.50%
2021/9/30,65.1,66.4,64,65,67.74,69.79,69.63,59.79,57.66,76.52,69.63,62.74,18133,35838,37475,-50,45742,200,250,8.37%,-953,52122,3085,4038,9.53%,66,6465,608,543,1.18%,20731,323,1029,703,3,15.17%,71.69,69.23,0.42,12194,17186,-4992,66.12,-17797,-9.93,-9.93,19.79%,19.14%
2021/10/1,64.4,66,60.9,62,65.5,69.2,69.04,59.86,57.72,76.39,69.04,61.68,20739,32076,38540,-1558,44184,29,1587,8.09%,954,53283,5095,4141,9.75%,-906,5559,449,1355,1.02%,20703,-28,2010,2022,16,15.15%,71.6,68.91,0.41,12100,18183,-6083,66.11,-14189,-8.85,-8.85,21.30%,20.22%
2021/10/4,63,63.4,61.1,61.1,64.16,68.5,68.5,59.91,57.79,76.5,68.5,60.5,13774,25419,38931,-649,43535,0,649,7.97%,1020,54271,3733,2713,9.93%,52,5611,283,231,1.03%,19837,-866,807,1666,7,14.52%,71.6,68.54,0.18,12265,18200,-5935,66.11,-13147,-10.34,-10.34,23.35%,21.79%
2021/10/5,59.6,65.9,59.1,65.3,63.56,67.63,68.13,59.98,57.87,75.98,68.13,60.27,20698,20393,33934,343,43878,683,340,8.03%,-475,53936,4685,5160,9.86%,612,6224,1103,490,1.14%,18764,-1073,759,1807,25,13.73%,71.33,68.49,0.8,12618,18127,-5509,66.08,-5896,-5.78,-5.78,23.07%,22.43%
2021/10/6,65,65.7,61.7,61.9,63.06,66.42,67.67,60.03,57.93,75.86,67.67,59.48,19650,18599,32992,110,43988,110,0,8.05%,-4047,49771,3647,7694,9.10%,-475,5749,315,790,1.05%,19302,538,1524,986,0,14.13%,71.28,68.49,0.71,12642,18125,-5483,66.07,-1804,-1.94,-1.94,24.20%,23.31%
2021/10/7,63.4,66.3,63.4,66.2,63.3,65.52,67.61,60.11,58.02,75.82,67.61,59.39,18488,18670,27254,1793,45781,1793,0,8.38%,2195,51996,4769,2574,9.51%,81,5830,510,429,1.07%,18682,-620,841,1460,1,13.67%,70.77,68.44,0.54,12949,17293,-4344,66.05,39,0.042,0.042,24.29%,23.80%
2021/10/8,66.9,68.9,65.5,67.2,64.34,64.92,67.8,60.18,58.1,75.78,67.8,59.81,23231,19168,25622,1500,47281,1500,0,8.65%,1514,53367,4901,3387,9.76%,-81,5750,303,384,1.05%,17561,-1121,1036,2157,0,12.85%,70.56,68.45,0.61,12851,17514,-4663,66.09,3097,3.23,3.23,23.56%,23.68%
2021/10/12,66.7,67.7,65.9,66.5,65.42,64.79,67.67,60.26,58.17,75.66,67.67,59.68,7901,17994,21706,27,47308,27,0,8.66%,-833,52431,1621,2454,9.59%,-9,5741,158,167,1.05%,17754,193,549,336,20,13.00%,70.79,68.45,0.18,12734,17965,-5231,66.09,3773,4.19,4.19,23.60%,23.64%
