時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,82.5,82.5,81,81,83.12,84.45,85.17,86.65,84.34,89.12,85.17,81.22,868,826,1369,0,1515,0,0,0.51%,-238,99772,150,388,33.48%,-112,1206,0,112,0.40%,2134,-42,16,56,2,2.86%,87.58,84.25,0.44,11987,17513,-5526,87.74,0,0,0,9.27%,8.82%
2021/9/30,81.2,82.4,81.1,81.2,82.56,83.82,85.04,86.68,84.4,89.32,85.04,80.75,601,857,1215,0,2404,0,0,0.81%,-210,99578,257,467,33.41%,-10,1196,1,11,0.40%,2139,5,15,10,0,2.87%,87.58,84.56,0.42,12194,17186,-4992,87.74,0,0,0,10.08%,9.45%
2021/10/1,81.2,81.3,78.5,78.7,81.52,82.97,84.8,86.7,84.44,89.86,84.8,79.73,1382,913,1272,0,2404,0,0,0.81%,-681,98877,174,855,33.18%,-120,1076,1,121,0.36%,2078,-61,20,80,1,2.79%,87.58,85.03,0.41,12100,18183,-6083,87.74,0,0,0,11.95%,10.70%
2021/10/4,79.4,79.9,75.5,76.9,80.14,82.28,84.49,86.72,84.48,90.58,84.49,78.39,1897,1168,1220,0,2404,0,0,0.81%,-207,98667,812,1019,33.11%,-9,1067,1,10,0.36%,2018,-60,24,76,8,2.71%,87.58,86.25,0.18,12265,18200,-5935,87.74,0,0,0,14.44%,12.57%
2021/10/5,76.9,77.9,75.4,77.3,79.02,81.33,83.99,86.74,84.52,90.69,83.99,77.28,1917,1333,1097,0,2404,0,0,0.81%,382,99052,1134,752,33.24%,32,1099,44,12,0.37%,1968,-50,13,63,0,2.64%,87.75,85.98,0.8,12618,18127,-5509,87.74,0,0,0,15.96%,14.26%
2021/10/6,78.5,78.5,75.4,76.2,78.06,80.59,83.5,86.76,84.55,90.93,83.5,76.06,2023,1564,1195,0,2404,0,0,0.81%,138,99179,593,455,33.28%,-39,1060,2,41,0.36%,2017,49,74,25,0,2.71%,87.75,85.98,0.71,12642,18125,-5483,87.74,0,0,0,17.81%,16.04%
2021/10/7,76.8,78.7,76.5,78,77.42,79.99,83.11,86.78,84.57,90.83,83.11,75.38,980,1640,1249,0,2404,0,0,0.81%,464,99643,753,289,33.44%,7,1067,12,5,0.36%,1969,-48,12,60,0,2.64%,87.75,85.98,0.54,12949,17293,-4344,87.74,0,0,0,18.59%,17.31%
2021/10/8,79.1,79.5,78,78.6,77.4,79.46,82.7,86.82,84.59,90.46,82.7,74.93,878,1539,1226,0,2404,0,0,0.81%,-86,99557,291,377,33.41%,0,1067,0,0,0.36%,1972,3,27,23,1,2.65%,88.16,85.98,0.61,12851,17514,-4663,87.74,0,0,0,18.78%,18.05%
2021/10/12,78.8,79.4,77.2,77.8,77.58,78.86,82.24,86.84,84.61,90.02,82.24,74.45,789,1317,1243,0,2404,0,0,0.81%,-418,99175,90,508,33.28%,18,1085,20,2,0.36%,1962,-10,5,15,0,2.63%,88.16,85.98,0.18,12734,17965,-5231,87.74,0,0,0,18.92%,18.48%
2021/10/13,78,78.8,77,77.2,77.56,78.29,81.73,86.86,84.64,89.44,81.73,74.02,644,1063,1198,0,2404,0,0,0.81%,-252,98923,91,343,33.19%,-28,1056,5,33,0.35%,1978,16,123,107,0,2.66%,88.33,85.98,0.36,12747,18099,-5352,87.74,0,0,0,18.87%,18.68%
2021/10/14,78,78,76.1,76.2,77.56,77.81,81.13,86.87,84.64,88.6,81.13,73.66,485,755,1160,0,2404,0,0,0.81%,-142,98781,95,237,33.15%,-18,1038,1,19,0.35%,1986,8,15,7,0,2.67%,88.41,85.98,0.27,12783,18088,-5305,87.74,0,0,0,18.41%,18.54%
2021/10/15,77.8,77.8,76.7,76.9,77.34,77.38,80.6,86.9,84.66,87.68,80.6,73.52,1012,762,1201,0,2404,0,0,0.81%,12,98798,388,376,33.15%,13,1051,14,1,0.35%,2034,48,62,14,0,2.73%,88.41,85.98,-0.092,13316,17122,-3806,87.74,0,0,0,17.56%,18.05%
2021/10/18,77.6,77.7,76.6,77.7,77.16,77.28,80.13,86.92,84.68,86.62,80.13,73.63,873,761,1150,100,2504,100,0,0.84%,-62,98739,208,270,33.13%,17,1069,26,9,0.36%,2015,-19,34,53,0,2.71%,77.06,85.98,-0.14,13423,17088,-3665,87.31,100,2.63,2.63,16.21%,17.13%
2021/10/19,78,79.4,77.9,79.1,77.42,77.5,79.89,86.96,84.71,86.17,79.89,73.61,831,769,1043,0,2504,0,0,0.84%,-58,98650,286,344,33.10%,30,1099,31,1,0.37%,1893,-122,15,137,0,2.54%,77.06,85.98,0.82,13824,16754,-2930,87.31,100,2.6,2.6,15.73%,16.43%
2021/10/20,79.6,81.1,79.2,80,77.98,77.77,79.55,87,84.74,84.98,79.55,74.12,1060,852,958,0,2504,0,0,0.84%,76,98726,306,230,33.13%,-29,1070,0,29,0.36%,1873,-20,25,45,0,2.51%,77.06,85.98,0.64,14047,16753,-2706,87.31,100,2.35,2.35,13.64%,15.03%
2021/10/21,80,80.7,78.8,78.8,78.5,78.03,79.31,87.03,84.77,84.41,79.31,74.21,778,911,833,0,2504,0,0,0.84%,-267,98459,192,459,33.04%,4,1073,4,0,0.36%,1896,23,40,17,0,2.55%,77.06,85.98,0.076,12801,16738,-3937,87.31,100,2.2,2.2,12.87%,13.95%
2021/10/22,78.8,80,78.8,79.9,79.1,78.22,79.11,87.07,84.8,83.75,79.11,74.46,529,814,788,0,2504,0,0,0.84%,280,98739,397,117,33.13%,6,1079,6,0,0.36%,1883,-13,5,18,0,2.53%,77.06,85.98,0.13,12719,16736,-4017,87.31,100,2.46,2.46,11.74%,12.84%
2021/10/25,81.9,86,81.6,82.9,80.14,78.65,79.06,87.12,84.85,83.51,79.06,74.6,3128,1265,1013,1,2505,1,0,0.84%,-837,97945,658,1495,32.87%,5,1084,15,10,0.36%,2482,599,672,73,0,3.33%,77.12,85.98,-0.03,12703,16738,-4035,87.31,1,0.016,0.016,11.26%,12.05%
2021/10/26,83.4,86,83.1,84.2,81.16,79.29,79.08,87.18,84.91,83.62,79.08,74.54,2515,1602,1186,350,2855,350,0,0.96%,309,98215,1294,985,32.96%,19,1103,20,1,0.37%,2461,-21,177,198,0,3.30%,82.77,85.98,0.086,12776,16455,-3679,86.96,351,4.38,4.38,11.48%,11.77%
