時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,92.2,93,92,92.1,90.66,89.86,93.92,88.96,81.62,104.33,93.92,83.5,18,29,39,0,0,0,0,0.00%,-10,817,0,10,2.88%,0,0,0,0,0.00%,0,0,0.44,11987,17513,-5526,92.17,0,0,0,22.17%,23.55%
2021/9/30,92,92.1,90,90.4,91.1,90.15,93.34,89.18,81.81,103.16,93.34,83.51,25,30,29,0,0,0,0,0.00%,-9,808,0,9,2.85%,0,0,0,0,0.00%,0,0,0.42,12194,17186,-4992,90.67,0,0,0,21.05%,22.30%
2021/10/1,89,90.9,86.5,86.9,90.74,89.86,92.66,89.39,81.99,102.28,92.66,83.03,25,31,27,0,0,0,0,0.00%,-8,800,0,8,2.82%,0,0,0,0,0.00%,0,0,0.41,12100,18183,-6083,87.72,0,0,0,20.78%,21.54%
2021/10/4,86.9,86.9,84.5,84.5,89.72,89.49,91.86,89.58,82.16,101.4,91.86,82.31,21,33,26,0,0,0,0,0.00%,-5,795,0,5,2.81%,0,0,0,0,0.00%,0,0,0.18,12265,18200,-5935,85.23,0,0,0,20.78%,21.16%
2021/10/5,83.5,87.5,83.5,87.5,88.28,89.15,91.08,89.78,82.34,99.3,91.08,82.86,19,22,27,0,0,0,0,0.00%,-3,792,1,4,2.80%,0,0,0,0,0.00%,0,0,0.8,12618,18127,-5509,85.13,0,0,0,18.06%,19.61%
2021/10/6,88.8,88.9,85.4,85.4,86.94,88.8,90.28,89.97,82.51,97.33,90.28,83.22,17,21,25,0,0,0,0,0.00%,-2,790,0,2,2.79%,0,0,0,0,0.00%,0,0,0.71,12642,18125,-5483,87.36,0,0,0,15.63%,17.62%
2021/10/7,86,86.8,86,86.5,86.16,88.63,89.7,90.16,82.67,95.94,89.7,83.45,8,18,24,0,0,0,0,0.00%,-1,789,0,1,2.79%,0,0,0,0,0.00%,0,0,0.54,12949,17293,-4344,86.45,0,0,0,13.93%,15.77%
2021/10/8,86.5,86.5,86.2,86.2,86.02,88.38,89.4,90.36,82.85,95.71,89.4,83.08,8,15,23,0,0,0,0,0.00%,0,789,0,0,2.79%,0,0,0,0,0.00%,0,0,0.61,12851,17514,-4663,86.46,0,0,0,14.12%,14.95%
2021/10/12,86.2,86.2,85.5,86,86.32,88.02,88.87,90.55,83.02,94.43,88.87,83.31,9,12,22,0,0,0,0,0.00%,0,789,1,1,2.79%,0,0,0,0,0.00%,0,0,0.18,12734,17965,-5231,85.88,0,0,0,12.52%,13.74%
2021/10/13,85.2,86,83.5,84.2,85.66,86.97,88.32,90.73,83.19,93.43,88.32,83.21,11,11,16,0,0,0,0,0.00%,-2,787,0,2,2.78%,0,0,0,0,0.00%,0,0,0.36,12747,18099,-5352,84.92,0,0,0,11.57%,12.65%
2021/10/14,84.5,86,84.4,86,85.78,86.36,88.11,90.92,83.36,93.24,88.11,82.98,19,11,16,0,0,0,0,0.00%,-1,786,0,1,2.77%,0,0,0,0,0.00%,0,0,0.27,12783,18088,-5305,84.81,0,0,0,11.64%,12.14%
2021/10/15,86.1,88.7,86.1,86.5,85.78,85.97,88.06,91.11,83.54,93.23,88.06,82.89,25,14,16,0,0,0,0,0.00%,-4,782,0,4,2.76%,0,0,0,0,0.00%,0,0,-0.092,13316,17122,-3806,87.36,0,0,0,11.74%,11.94%
2021/10/18,86.5,88.3,85.8,86,85.74,85.88,87.87,91.29,83.71,93.05,87.87,82.69,13,15,15,0,0,0,0,0.00%,-4,778,0,4,2.75%,0,0,0,0,0.00%,0,0,-0.14,13423,17088,-3665,86.58,0,0,0,11.79%,11.87%
2021/10/19,85.2,89,85.2,88,86.14,86.23,87.86,91.49,83.89,93.04,87.86,82.68,19,17,15,0,0,0,0,0.00%,-5,773,0,5,2.73%,0,0,0,0,0.00%,0,0,0.82,13824,16754,-2930,87.84,0,0,0,11.79%,11.83%
