時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,179,180.5,174,174.5,184.8,187.05,189.28,176.23,165.34,198.42,189.28,180.13,8188,4651,4292,56,25792,116,60,4.40%,-2129,140308,882,3011,23.93%,80,5476,169,89,0.93%,11238,447,862,415,0,7.67%,190.03,188.35,0.44,11987,17513,-5526,181.2,-4,-0.017,-0.017,9.66%,8.18%
2021/9/30,175,181.5,175,181.5,183.6,186,188.7,176.33,165.68,198.27,188.7,179.13,4576,4933,4397,114,26292,114,0,4.48%,560,140982,1905,1345,24.04%,-66,5410,65,131,0.92%,11086,-152,78,228,2,7.56%,189.38,188.33,0.42,12194,17186,-4992,181.19,66,0.27,0.27,10.15%,9.16%
2021/10/1,178.5,179,173,175.5,180.5,184.65,187.78,176.41,166,198.61,187.78,176.94,5283,5312,4436,63,26355,83,20,4.50%,-373,140719,1161,1534,24.00%,-228,5182,56,284,0.88%,10962,-124,247,371,0,7.48%,188.82,187.79,0.41,12100,18183,-6083,181.17,129,0.49,0.49,11.54%,10.35%
2021/10/4,178,178.5,170.5,172,177.5,182.95,186.9,176.5,166.31,199.69,186.9,174.11,4478,5620,4525,123,26478,143,20,4.52%,819,141580,2013,1194,24.15%,51,5233,148,97,0.89%,10798,-164,120,279,5,7.37%,187.83,186.96,0.18,12265,18200,-5935,181.13,369,1.31,1.31,13.69%,12.02%
2021/10/5,170,176,168,176,175.9,181.5,186,176.58,166.63,199.19,186,172.81,4874,5480,4680,149,26628,149,0,4.54%,6,141646,1344,1338,24.16%,12,5245,110,98,0.89%,10841,43,328,285,0,7.40%,186.66,186.8,0.8,12618,18127,-5509,181.08,505,1.84,1.84,14.18%,13.10%
2021/10/6,178,178,172,175,176,180.4,184.98,176.6,166.94,198.24,184.98,171.71,3904,4623,4637,37,26665,37,0,4.55%,-223,141616,1144,1367,24.15%,-38,5207,74,112,0.89%,10441,-400,101,335,166,7.12%,186.16,186.32,0.71,12642,18125,-5483,181.07,486,2.1,2.1,14.34%,13.72%
2021/10/7,178,183,178,181.5,176,179.8,184.6,176.67,167.27,197.81,184.6,171.39,6397,4987,4960,92,26757,92,0,4.56%,424,142115,2250,1826,24.24%,15,5222,100,85,0.89%,10410,-31,320,351,0,7.10%,185.96,185.71,0.54,12949,17293,-4344,181.07,464,1.86,1.86,14.31%,14.02%
2021/10/8,181.5,181.5,179,181,177.1,178.8,184.4,176.73,167.6,197.7,184.4,171.1,3221,4575,4944,-18,26739,9,27,4.56%,-164,142801,795,959,24.35%,-262,4960,16,278,0.85%,10522,112,233,119,2,7.18%,185.94,185.53,0.61,12851,17514,-4663,181.07,383,1.67,1.67,14.43%,14.22%
2021/10/12,178.5,180,177,178,178.3,177.9,183.83,176.78,167.92,197.19,183.83,170.46,3110,4301,4961,29,26767,29,0,4.57%,368,143401,1359,991,24.46%,-47,4912,36,83,0.84%,10468,-54,122,175,1,7.14%,185.81,185.44,0.18,12734,17965,-5231,181.07,289,1.34,1.34,14.54%,14.38%
2021/10/13,180,181.5,174.5,175,178.1,177,182.9,176.84,168.23,196.02,182.9,169.78,4494,4225,4853,97,26864,97,0,4.58%,-410,142880,898,1308,24.37%,-133,4780,28,161,0.82%,10611,143,318,175,0,7.24%,185.47,185.37,0.36,12747,18099,-5352,181.05,237,1.12,1.12,14.34%,14.36%
2021/10/14,178,178,174,176,178.3,177.15,182.1,176.87,168.54,194.85,182.1,169.35,2712,3987,4305,37,26900,37,0,4.59%,335,143251,884,549,24.43%,-312,4467,60,372,0.76%,10582,-29,88,117,0,7.22%,182.79,185.28,0.27,12783,18088,-5305,181.05,237,1.19,1.19,14.00%,14.18%
2021/10/15,179.5,184,179.5,184,178.8,177.4,181.7,176.96,168.88,193.66,181.7,169.74,5936,3895,4441,7,26907,7,0,4.59%,1245,144497,2387,1142,24.64%,76,4544,123,47,0.78%,10372,-210,281,484,7,7.08%,181.71,184.28,-0.092,13316,17122,-3806,181.05,152,0.78,0.78,13.16%,13.67%
2021/10/18,182.5,183.5,177.5,179,178.4,177.75,181.2,177.04,169.2,192.72,181.2,169.68,5326,4316,4445,-123,26783,1,124,4.57%,-252,144225,952,1204,24.60%,-130,4414,48,178,0.75%,10607,235,468,223,10,7.24%,179.7,183.52,-0.14,13423,17088,-3665,181.05,47,0.22,0.22,12.72%,13.19%
2021/10/19,180,184,179,183,179.4,178.85,180.9,177.16,169.53,191.89,180.9,169.91,3239,4341,4321,-44,26740,79,123,4.56%,250,144527,989,739,24.65%,17,4431,59,42,0.76%,10492,-115,224,333,6,7.16%,179.52,183.32,0.82,13824,16754,-2930,181.05,-26,-0.12,-0.12,12.15%,12.67%
2021/10/20,184,184.5,182,183,181,179.55,180.53,177.26,169.86,190.66,180.53,170.39,2692,3981,4103,3,26743,3,0,4.56%,-306,143972,735,1041,24.55%,-96,4335,22,118,0.74%,10531,39,223,154,30,7.19%,177.85,183.32,0.64,14047,16753,-2706,181.05,-120,-0.6,-0.6,11.23%,11.95%
2021/10/21,183.5,186.5,180.5,180.5,181.9,180.1,180.25,177.32,170.19,190.07,180.25,170.43,4659,4370,4179,5,26747,5,0,4.56%,-398,143302,1066,1464,24.44%,69,4404,147,78,0.75%,10754,223,477,254,0,7.34%,177.31,181.7,0.076,12801,16738,-3937,181.05,-152,-0.7,-0.7,10.90%,11.42%
2021/10/22,180.5,182.5,178.5,179,180.9,179.85,179.83,177.39,170.52,189.07,179.83,170.58,3734,3930,3912,-266,26481,12,278,4.52%,1315,144233,1793,478,24.60%,81,4485,117,36,0.77%,10904,150,256,106,0,7.44%,176.79,181.06,0.13,12719,16736,-4017,181.05,-425,-2.16,-2.16,10.29%,10.85%
2021/10/25,179,181.5,175.5,180.5,181.2,179.8,179.3,177.46,170.86,187.02,179.3,171.58,4257,3716,4016,-25,26456,0,25,4.51%,255,144399,1450,1196,24.63%,-41,4444,40,81,0.76%,10925,21,167,146,0,7.45%,176.79,180.99,-0.03,12703,16738,-4035,181.05,-327,-1.76,-1.76,8.61%,9.73%
2021/10/26,182,183.5,180.5,182,181,180.2,179.05,177.52,171.2,186.04,179.05,172.06,2775,3623,3982,-6,26450,0,6,4.51%,-307,143924,595,902,24.55%,-48,4396,3,51,0.75%,10748,-177,99,275,1,7.33%,176.76,179.77,0.086,12776,16455,-3679,181.05,-289,-1.6,-1.6,7.81%,8.77%
2021/10/27,180.5,184,180.5,182.5,180.9,180.95,178.98,177.58,171.54,185.78,178.98,172.17,1977,3480,3731,-99,26351,0,99,4.50%,-74,143851,424,498,24.53%,-6,4390,21,27,0.75%,10701,-47,192,239,0,7.30%,176.67,180.16,0.026,12699,16452,-3753,181.05,-391,-2.25,-2.25,7.61%,8.19%
2021/10/28,182,184,182,183,181.4,181.65,179.4,177.62,171.87,186.1,179.4,172.7,1964,2941,3656,-4,26347,0,4,4.49%,-214,143637,498,712,24.50%,-12,4378,3,15,0.75%,10679,-22,241,263,0,7.29%,176.7,180.48,0.17,12583,16455,-3872,181.05,-400,-2.72,-2.72,7.47%,7.83%
2021/10/29,184.5,192,183.5,189.5,183.5,182.2,179.8,177.68,172.23,187.78,179.8,171.82,10875,4370,4150,924,27271,935,11,4.65%,661,144328,2662,2001,24.62%,400,4778,479,79,0.82%,11060,381,1199,818,0,7.55%,183.28,180.61,0.14,12485,16619,-4134,181.32,790,3.62,3.62,8.88%,8.35%
2021/11/1,194,198.5,193.5,197,186.8,184,180.88,177.78,172.61,191.58,180.88,170.17,13943,6307,5012,1860,29131,1876,16,4.97%,-1376,142952,1369,2745,24.38%,722,5500,869,148,0.94%,11277,217,1333,1102,14,7.69%,190.51,181.09,0.1,12580,16396,-3816,182.3,2675,8.48,8.48,11.84%,10.09%
2021/11/2,199,200.5,190,191.5,188.7,184.85,181.85,177.88,172.95,192.69,181.85,171.01,12887,8329,5976,1129,30260,1176,47,5.16%,328,143307,2443,2114,24.44%,204,5704,606,402,0.97%,11352,75,1114,1036,3,7.75%,192.27,182.16,-0.011,12535,16507,-3972,182.8,3810,9.15,9.15,11.93%,11.01%
2021/11/3,196,198,189,192,190.6,185.75,182.65,177.98,173.3,194,182.65,171.3,7562,9446,6463,38,30298,46,8,5.17%,853,144160,2476,1622,24.59%,-191,5512,185,376,0.94%,11455,103,736,631,2,7.82%,192.94,182.27,-0.57,12592,16497,-3905,182.82,3947,8.36,8.36,12.43%,11.72%
2021/11/4,194,195,190.5,190.5,192.1,186.75,183.43,178.07,173.62,194.7,183.43,172.15,3943,9842,6392,-4,30294,0,4,5.17%,-81,144089,604,685,24.57%,76,5589,108,32,0.95%,11416,-39,350,389,0,7.79%,193.09,182.32,-0.2,12612,16176,-3564,182.82,3947,8.02,8.02,12.29%,12.00%
2021/11/5,193.5,196,190.5,193,192.8,188.15,184,178.18,173.95,195.97,184,172.03,7028,9073,6721,-43,30251,0,43,5.16%,-671,143437,1448,2119,24.46%,49,5638,172,123,0.96%,11667,251,629,365,13,7.96%,193.35,182.88,-0.088,12650,15701,-3051,182.82,2980,6.57,6.57,13.01%,12.51%
2021/11/8,193,195,190.5,191.5,191.7,189.25,184.53,178.27,174.28,196.84,184.53,172.21,4198,7124,6715,27,30278,68,41,5.16%,688,144240,1705,1017,24.60%,-50,5588,71,121,0.95%,11419,-248,233,480,1,7.79%,193.36,183.41,0.0082,12763,15481,-2718,182.84,1147,3.22,3.22,13.35%,12.93%
2021/11/9,193,196,192,194.5,192.3,190.5,185.35,178.4,174.61,198.01,185.35,172.69,4378,5422,6876,-63,30215,0,63,5.15%,1784,145964,2127,343,24.89%,142,5730,180,38,0.98%,11331,-88,553,641,0,7.73%,193.46,184.19,0.073,12714,15162,-2448,182.84,-45,-0.17,-0.17,13.66%,13.29%
2021/11/10,194,194,191,194,192.7,191.65,186.3,178.53,174.94,198.56,186.3,174.04,4711,4852,7149,300,30515,320,20,5.21%,39,146003,979,940,24.90%,13,5743,90,77,0.98%,11465,134,435,299,2,7.82%,193.73,184.37,0.25,12634,14882,-2248,182.94,217,0.89,0.89,13.16%,13.23%
2021/11/11,195,195.5,192,193,193.2,192.65,187.15,178.65,175.26,198.77,187.15,175.53,4024,4868,7355,330,30845,336,6,5.26%,209,146230,781,572,24.94%,-48,5695,78,126,0.97%,11341,-124,342,451,15,7.74%,193.89,184.44,0.051,12592,14595,-2003,183.06,551,2.26,2.26,12.42%,12.82%
2021/11/12,194,199,193,193,193.2,193,187.6,178.81,175.57,199.4,187.6,175.8,7518,4966,7019,268,31113,301,33,5.31%,53,146291,1251,1198,24.95%,114,5808,331,218,0.99%,11496,155,780,615,10,7.84%,194.02,184.84,0.34,12638,14588,-1950,183.18,862,3.47,3.47,12.58%,12.70%
2021/11/15,196,197.5,192.5,193.5,193.6,192.65,188.33,178.97,175.89,199.69,188.33,176.96,5798,5286,6205,-104,31009,0,104,5.29%,149,146454,1153,1004,24.98%,-187,5621,53,240,0.96%,11563,67,542,474,1,7.89%,194.03,186.54,0.0041,12616,14269,-1653,183.18,731,2.77,2.77,12.07%,12.39%
2021/11/16,195,198.5,193,194.5,193.6,192.95,188.9,179.11,176.2,200.3,188.9,177.5,6655,5741,5582,68,31077,92,24,5.30%,-275,146182,998,1273,24.93%,-138,5483,166,304,0.94%,11968,405,835,430,0,8.17%,194.24,187.45,0.52,12678,14267,-1589,183.22,862,3,3,12.07%,12.23%
