時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,415,419,406.5,406.5,423.5,426.8,435.55,477.02,445.08,463.3,435.55,407.81,6917,5371,5219,-88,19226,56,144,3.16%,-556,347810,2373,2929,57.15%,-138,14901,149,287,2.45%,10422,193,486,288,5,6.85%,426.39,437.77,0.44,11987,17513,-5526,424.47,-374,-1.39,-1.39,12.74%,12.26%
2021/9/30,407,412.5,398,410,420.2,423.8,433.6,477.51,445.64,462.74,433.6,404.46,7387,5716,5500,-148,18416,76,224,3.03%,359,348293,4241,3882,57.23%,-18,14884,58,76,2.45%,10416,-6,187,189,4,6.85%,421.42,432.69,0.42,12194,17186,-4992,424.4,-468,-1.64,-1.64,13.44%,12.85%
2021/10/1,405,412.5,401,404.5,415.9,421.15,430.68,477.95,446.15,459.16,430.68,402.19,5134,5767,5479,30,18446,49,19,3.03%,192,348529,2809,2617,57.27%,-3,14881,52,54,2.45%,10251,-165,89,250,4,6.74%,419.28,431.69,0.41,12100,18183,-6083,424.35,-290,-1.01,-1.01,13.23%,13.04%
2021/10/4,406,411,398,399.5,408.9,418.2,427.83,478.42,446.62,456.8,427.83,398.85,3752,5585,5345,-47,18399,79,126,3.02%,-82,348187,1400,1482,57.21%,-44,14837,38,82,2.44%,10185,-66,101,167,0,6.70%,416.06,426.95,0.18,12265,18200,-5935,424.25,-279,-1,-1,13.55%,13.29%
2021/10/5,390,399,384,397.5,403.6,415.1,424.88,478.83,447.11,453.59,424.88,396.16,6595,5957,5506,98,18497,98,0,3.04%,-107,347073,3219,3326,57.03%,99,14937,191,92,2.45%,10219,34,221,174,13,6.72%,411.8,426.16,0.8,12618,18127,-5509,424.09,-155,-0.52,-0.52,13.52%,13.40%
2021/10/6,402.5,404.5,389.5,391,400.5,412,422.93,479.17,447.57,455.07,422.93,390.78,4175,5409,5390,31,18528,31,0,3.04%,-996,345931,1088,2084,56.84%,-75,14862,31,106,2.44%,10218,-1,142,137,6,6.72%,410.9,421.32,0.71,12642,18125,-5483,424.05,-36,-0.13,-0.13,15.20%,14.30%
2021/10/7,399,407,396,396,397.7,408.95,421.18,479.57,448.05,455.13,421.18,387.22,5663,5064,5390,11,18539,13,2,3.05%,-96,346009,2307,2403,56.86%,-341,14520,88,429,2.39%,10313,95,277,172,10,6.78%,410.62,420.99,0.54,12949,17293,-4344,424.03,123,0.49,0.49,16.13%,15.21%
2021/10/8,398.5,402,389,389,394.6,405.25,419.35,479.93,448.51,456,419.35,382.7,4039,4845,5306,10,18549,10,0,3.05%,-961,345014,1235,2196,56.69%,-27,14494,36,63,2.38%,10300,-13,266,274,5,6.77%,410.06,420.48,0.61,12851,17514,-4663,424.01,103,0.43,0.43,17.48%,16.35%
2021/10/12,384,388,372,372,389.1,399,416.28,480.2,448.91,457.67,416.28,374.88,8235,5741,5663,23,18572,31,8,3.05%,120,345347,4461,4341,56.75%,-122,14372,118,240,2.36%,10075,-225,324,534,15,6.62%,408.35,420.01,0.18,12734,17965,-5231,423.94,173,0.6,0.6,19.89%,18.12%
2021/10/13,377,379.5,369,371.5,383.9,393.75,412.15,480.5,449.28,454.13,412.15,370.17,5374,5497,5727,-20,18552,47,67,3.05%,-249,345452,2282,2531,56.77%,7,14378,102,96,2.36%,10037,-38,169,182,25,6.60%,405.75,416.39,0.36,12747,18099,-5352,423.81,55,0.2,0.2,20.37%,19.24%
